"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","08-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","22-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","03-Apr-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","14 May 16","Brisbane","Shadow Minister - Official Business","2","408.00","","816.00","13-May-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 May 16","20 May 16","Sydney","Shadow Minister - Official Business","2","133.00","","266.00","19-May-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 May 16","21 May 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","21-May-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 May 16","29 May 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","29-May-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Jun 16","10 Jun 16","Sydney","Shadow Minister - Official Business","1","133.00","","133.00","10-Jun-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Jun 16","11 Jun 16","Townsville","Shadow Minister - Official Business","1","283.00","","283.00","11-Jun-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Jun 16","12 Jun 16","Sydney","Shadow Minister - Official Business","1","133.00","","133.00","12-Jun-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Jun 16","16 Jun 16","Hobart","Shadow Minister - Official Business","1","327.00","","327.00","16-Jun-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Melbourne to Canberra","","","","661.75","27-Jan-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Canberra to Melbourne","","","","613.09","27-Jan-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Melbourne to Canberra","","","","613.09","01-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","686.29","04-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Avalon Airport to Sydney","","","","204.55","05-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Sydney to Melbourne","","","","698.76","06-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Melbourne to Canberra","","","","135.61","08-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","686.29","11-Feb-2016",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Avalon Airport to Sydney","","","","204.55","12-Feb-2016",""
