"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Jan 16","15 Jan 16","Denmark","Electorate Business","3","258.00","","774.00","13-Jan-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Perth","Electorate Business","1","472.00","","472.00","18-Jan-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Feb 16","4 Feb 16","Perth","Sittings of Parliament","1","411.00","","411.00","04-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Feb 16","11 Feb 16","Perth","Sittings of Parliament","1","411.00","","411.00","11-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","18 Feb 16","Kalgoorlie","Electorate Business","2","310.00","","620.00","17-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","20 Feb 16","Perth","Sittings of Parliament","1","411.00","","411.00","20-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","25 Feb 16","Perth","Sittings of Parliament","1","411.00","","411.00","25-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Perth","Electorate Business","1","411.00","","411.00","03-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","4 Mar 16","Perth","Electorate Business","1","411.00","","411.00","04-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Perth","Electorate Business","1","411.00","","411.00","07-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Perth","Electorate Business","1","411.00","","411.00","08-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Collie","Electorate Business","1","258.00","","258.00","21-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Perth","Electorate Business","1","411.00","","411.00","23-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Kalgoorlie","Electorate Business","1","310.00","","310.00","30-Mar-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","12 Apr 16","Perth","Electorate Business","2","411.00","","306.00","11-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","12 Apr 16","Perth","Electorate Business","2","411.00","","516.00","11-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Apr 16","19 Apr 16","Perth","Electorate Business","1","411.00","","411.00","19-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","24 Apr 16","Kalgoorlie","Electorate Business","1","310.00","","310.00","24-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Bridgetown","Electorate Business","1","258.00","","258.00","26-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Apr 16","28 Apr 16","Kalgoorlie","Electorate Business","1","310.00","","310.00","28-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Apr 16","29 Apr 16","Perth","Electorate Business","1","411.00","","411.00","29-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Apr 16","30 Apr 16","Melbourne","Electorate Business","1","379.00","","379.00","30-Apr-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Perth","Electorate Business","1","411.00","","411.00","05-May-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 May 16","9 May 16","Pemberton","Electorate Business","1","258.00","","258.00","09-May-2016",""
"Rick Wilson","Representative","O'Connor","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 May 16","10 May 16","Williams","Electorate Business","1","258.00","","258.00","10-May-2016",""
