"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Nov 15","25 Nov 15","Canberra","Sittings of Parliament","4","273.00","","1,092.00","22-Nov-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","29 Nov 15","2 Dec 15","Canberra","Sittings of Parliament","4","273.00","","1,092.00","29-Nov-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Melbourne to Canberra","","","","613.09","31-Jan-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","686.29","04-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","613.09","07-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","686.29","11-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","613.09","21-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","686.29","25-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","613.09","28-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Melbourne","","","","686.29","03-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","686.29","14-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Canberra to Melbourne","","","","686.29","17-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","613.09","17-Apr-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Melbourne","","","","686.29","19-Apr-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","613.09","01-May-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 May 16 - Canberra to Melbourne","","","","686.29","05-May-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","3 Dec 15 - Canberra to Melbourne","","","","654.68","03-Dec-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 Jan to 25 Jan 16","","","","167.42","25-Jan-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 4 Jan to 3 Feb 16","","","","1,717.62","03-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 28 Jan to 24 Feb 16","","","","302.09","24-Feb-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 4 Feb to 3 Mar 16","","","","1,717.62","03-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Mar to 22 Mar 16","","","","250.69","22-Mar-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 4 Mar to 3 Apr 16","","","","1,717.62","03-Apr-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 29 Mar to 23 Apr 16","","","","302.70","23-Apr-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 4 Apr to 3 May 16","","","","1,717.62","03-May-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 28 Apr to 29 May 16","","","","395.76","29-May-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 4 May to 3 Jun 16","","","","1,717.62","03-Jun-2016",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 4 Dec 15 to 3 Jan 16","","","","1,717.62","04-Dec-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 6 Dec to 26 Dec 15","","","","289.10","26-Dec-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Additional maintenance 8 Dec 15","","","","370.50","08-Dec-2015",""
"Rob Mitchell","Representative","McEwen","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","End of lease adj 17 Dec 15","","","","-4,337.67","17-Dec-2015",""
