"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Sydney to Darwin","","","","1,472.81","07-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Darwin to Broome","","","","679.90","09-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Broome to Perth","","","","699.53","10-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Mar 16 - Perth to Sydney","","","","1,941.35","11-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Jan to 21 Jan 16","","","","101.08","21-Jan-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 26 Jan to 25 Feb 16","","","","850.12","25-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Feb to 28 Feb 16","","","","211.00","28-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 26 Feb to 25 Mar 16","","","","850.12","25-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 13 Mar to 23 Mar 16","","","","103.81","23-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 26 Mar to 25 Apr 16","","","","850.12","25-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 6 Apr to 23 Apr 16","","","","168.66","23-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 26 Apr to 25 May 16","","","","850.12","25-May-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 May to 28 May 16","","","","246.92","28-May-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 26 May to 25 Jun 16","","","","850.12","25-Jun-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 4 Dec to 14 Dec 15","","","","130.74","14-Dec-2015","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 26 Dec 15 to 25 Jan 16","","","","850.12","26-Dec-2015","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Mar 16 - Sydney","","","","87.84","07-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Mar 16 - Darwin","","","","40.00","07-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","11 Mar 16 - Sydney","","","","62.72","11-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2016","","","","Aggregated Total","","","","53,644.39","01-Jan-1900","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2016","","","","Aggregated Total","","","","4,933.31","01-Jan-1900","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Jan to 27 Feb 16","","","","87.44","27-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Jan to 27 Feb 16","","","","39.94","27-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Feb to 29 Feb 16","","","","370.77","29-Feb-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Feb to 27 Mar 16","","","","167.95","27-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Feb to 27 Mar 16","","","","56.25","27-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Mar to 31 Mar 16","","","","400.45","31-Mar-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 28 Mar to 27 Apr 16","","","","3,120.52","27-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 28 Mar to 27 Apr 16","","","","75.98","27-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Flags 1 Apr to 30 Apr 16","","","","117.42","30-Apr-2016","",""
"Russell Matheson","Representative","Macarthur","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 May to 31 May 16","","","","3,654.54","31-May-2016","",""
