"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Feb 16","10 Feb 16","Canberra","Senate Estimates","2","273.00","","546.00","09-Feb-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","14-Mar-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","22 Mar 16","Canberra","Foreign Affairs, Defence and Trade - Sen","1","273.00","","273.00","22-Mar-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Brisbane","School Funding","1","408.00","","408.00","04-Apr-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Canberra","Economics - Sen","1","273.00","","273.00","20-Apr-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","3 May 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Canberra","Senate Estimates","1","273.00","","273.00","05-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 May 16","8 May 16","Cairns","Shadow Parliamentary Secretary - Official","1","291.00","","291.00","08-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 May 16","9 May 16","Townsville","Shadow Parliamentary Secretary - Official","1","283.00","","283.00","09-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 May 16","10 May 16","Mackay","Shadow Parliamentary Secretary - Official","1","312.00","","312.00","10-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 May 16","11 May 16","Rockhampton","Shadow Parliamentary Secretary - Official","1","283.00","","283.00","11-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 May 16","14 May 16","Brisbane","Shadow Parliamentary Secretary - Official","1","408.00","","408.00","14-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 May 16","15 May 16","Ballina","Shadow Parliamentary Secretary - Official","1","258.00","","258.00","15-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Port Macquarie","Shadow Parliamentary Secretary - Official","1","283.00","","283.00","16-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 May 16","17 May 16","Melbourne","Shadow Parliamentary Secretary - Official","1","379.00","","379.00","17-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 May 16","22 May 16","Canberra","Shadow Parliamentary Secretary - Official","1","273.00","","273.00","22-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Little Hume Village","Shadow Parliamentary Secretary - Official","1","258.00","","258.00","23-May-2016","",""
"Sam Dastyari","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
