"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Broome","Electorate Business","1","411.00","","411.00","27-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","31-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Gold Coast","Deputy Party Leader - Official Business","1","300.00","","300.00","12-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Melbourne","Environment and Communications","1","379.00","","379.00","18-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Feb 16","20 Feb 16","Sydney","Parliamentary Political Party Meeting","2","397.00","","794.00","19-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Canberra","National Broadband Network","1","273.00","","273.00","03-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Brisbane","Environment and Communications","1","408.00","","408.00","09-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","10 Mar 16","Sydney","Environment and Communications","1","397.00","","397.00","10-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Apr 16","16 Apr 16","Melbourne","Parliamentary Political Party Meeting","2","379.00","","758.00","15-Apr-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Apr 16","28 Apr 16","Canberra","Environment and Communications","1","273.00","","273.00","28-Apr-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","170.00","01-Jan-2016","OS Delegation - Fares",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jan 16 - Perth to Melbourne","","","","1,844.22","18-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Melbourne to Perth","","","","1,703.41","19-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Perth to Broome","","","","1,104.30","27-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Broome to Perth","","","","698.56","28-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Perth to Canberra","","","","1,623.59","31-Jan-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Perth","","","","1,623.59","04-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Perth to Canberra","","","","1,623.59","07-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Sydney","","","","940.66","12-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Sydney to Coolangatta","","","","","12-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Brisbane to Perth","","","","1,843.32","13-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Perth to Melbourne","","","","1,735.23","18-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Melbourne to Sydney","","","","780.82","19-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","598.39","21-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","686.29","26-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","613.09","28-Feb-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Sydney","","","","-328.20","04-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Sydney","","","","328.20","04-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Mar 16 - Sydney to Perth","","","","1,747.77","05-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Perth to Brisbane","","","","2,043.54","09-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Brisbane to Sydney","","","","698.67","10-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Mar 16 - Sydney to Perth","","","","1,941.35","12-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Perth to Canberra","","","","1,624.54","14-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Sydney","","","","452.89","18-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Sydney to Hobart","","","","","18-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Mar 16 - Hobart to Sydney","","","","-650.00","20-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Mar 16 - Hobart to Sydney","","","","650.00","20-Mar-2016","",""
"Scott Ludlam","Senator","","Western Australia","Australian Greens","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Mar 16 - Perth to Adelaide","","","","1,471.47","29-Mar-2016","",""
