"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","29 Jan 16","Perth","Electorate Business","3","411.00","","1,233.00","27-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","11 Feb 16","Canberra","Senate Estimates","6","273.00","","1,638.00","06-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Canberra","Economics - Sen","1","273.00","","273.00","18-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Economics - Sen","1","397.00","","397.00","09-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Mar 16","12 Mar 16","Adelaide","Electorate Business","2","120.00","","240.00","11-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Sean Edwards","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","22 Mar 16","Adelaide","Electorate Business","2","120.00","","240.00","21-Mar-2016","",""
