"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","5 Jan 16 - Melbourne to Sydney","698.76","","05-Jan-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","7 Jan 16 - Sydney to Melbourne","698.76","","07-Jan-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","10 Jan 16 - Melbourne to Perth","1,735.23","","10-Jan-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","13 Jan 16 - Perth to Melbourne","1,735.23","","13-Jan-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","1 Apr 16 - Melbourne to Sydney","698.76","","01-Apr-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","3 Apr 16 - Sydney to Melbourne","698.76","","03-Apr-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","3 May 16 - Melbourne to Canberra","613.09","","03-May-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","11 May 16 - Melbourne to Sydney","780.82","","11-May-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","11 May 16 - Sydney to Melbourne","780.82","","11-May-2016"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","21 Dec 15 - Melbourne to Adelaide","693.69","","21-Dec-2015"
"Simon Crean","Representative","Hotham","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","21 Dec 15 - Adelaide to Melbourne","693.69","","21-Dec-2015"
