"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Adelaide","Health - Reps","1","359.00","","359.00","03-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","15-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 May 16","18 May 16","Cairns","Shadow Minister - Official Business","1","291.00","","291.00","18-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","25-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Jun 16","13 Jun 16","Rockhampton","Shadow Minister - Official Business","1","283.00","","283.00","13-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jun 16","14 Jun 16","Devonport","Shadow Minister - Official Business","1","291.00","","291.00","14-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Jun 16","16 Jun 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","16-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Nov 15","25 Nov 15","Canberra","Sittings of Parliament","4","273.00","","1,092.00","22-Nov-2015",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Sydney to Melbourne","","","","780.82","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Melbourne to Sydney","","","","780.82","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Adelaide","","","","485.00","03-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Adelaide to Sydney","","","","938.95","04-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Sydney to Grafton","","","","456.00","07-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Coffs Harbour to Sydney","","","","310.88","07-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 May 16 - Sydney to Cairns","","","","45.45","18-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 May 16 - Sydney to Cairns","","","","834.30","18-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 May 16 - Cairns to Townsville","","","","339.92","19-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 May 16 - Townsville to Sydney","","","","801.57","19-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 May 16 - Townsville to Sydney","","","","45.45","19-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 May 16 - Sydney to Melbourne","","","","780.82","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 May 16 - Melbourne to Sydney","","","","780.82","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Jun 16 - Sydney to Brisbane","","","","164.75","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Jun 16 - Coolangatta to Sydney","","","","617.99","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Jun 16 - Sydney to Brisbane","","","","698.67","10-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Jun 16 - Brisbane to Sydney","","","","226.36","10-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Jun 16 - Sydney to Ballina Airport","","","","199.09","13-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Jun 16 - Brisbane to Rockhampton","","","","309.60","13-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Jun 16 - Rockhampton to Brisbane","","","","1,605.68","14-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Jun 16 - Brisbane to Melbourne","","","","","14-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Jun 16 - Melbourne to Devonport","","","","","14-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Jun 16 - Launceston to Melbourne","","","","1,001.73","15-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Jun 16 - Melbourne to Sydney","","","","","15-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Jun 16 - Sydney to Adelaide","","","","845.59","16-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jun 16 - Adelaide to Sydney","","","","938.95","17-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Jun 16 - Sydney to Melbourne","","","","698.76","21-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jun 16 - Sydney to Merimbula","","","","399.00","26-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jun 16 - Merimbula to Sydney","","","","399.00","26-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jun 16 - Sydney to Dubbo","","","","311.48","26-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","18 Nov 15 - Sydney to Melbourne","","","","-264.55","18-Nov-2015","Refund"
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Jan to 21 Jan 16","","","","162.28","21-Jan-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Jan to 23 Feb 16","","","","1,091.35","23-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Jan to 26 Feb 16","","","","344.38","26-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Feb to 23 Mar 16","","","","1,091.35","23-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 12 Mar to 23 Mar 16","","","","114.62","23-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Mar to 23 Apr 16","","","","1,091.35","23-Apr-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 4 Apr to 27 Apr 16","","","","289.56","27-Apr-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Apr to 23 May 16","","","","1,091.35","23-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Apr 16","","","","64.62","30-Apr-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 May to 23 Jun 16","","","","1,091.35","23-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Infringement notice 15 Nov 15","","","","15.00","15-Nov-2015",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 29 Nov to 20 Dec 15","","","","258.35","20-Dec-2015",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 24 Dec 15 to 23 Jan 16","","","","1,091.35","24-Dec-2015",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Sydney","","","","176.85","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Melbourne","","","","85.00","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Melbourne","","","","131.89","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Feb 16 - Sydney","","","","153.04","16-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 Feb 16 - Sydney","","","","377.28","29-Feb-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","3 Mar 16 - Adelaide","","","","41.80","03-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Mar 16 - Adelaide","","","","209.60","04-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Mar 16 - Adelaide","","","","40.00","04-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Mar 16 - Sydney","","","","150.49","04-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","187.33","09-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","47.16","09-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","40.00","09-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","210.98","09-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","15 Mar 16 - Sydney","","","","368.11","15-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","1 May 16 - Sydney","","","","406.10","01-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 May 16 - Sydney","","","","148.03","07-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 May 16 - Sydney","","","","158.28","07-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","18 May 16 - Sydney","","","","145.41","18-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","19 May 16 - Sydney","","","","179.24","19-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 May 16 - Sydney","","","","167.68","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 May 16 - Melbourne","","","","88.90","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 May 16 - Melbourne","","","","96.00","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 May 16 - Sydney","","","","155.66","29-May-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","8 Jun 16 - Sydney","","","","148.03","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","8 Jun 16 - Brisbane","","","","53.20","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","8 Jun 16 - Brisbane","","","","45.85","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","8 Jun 16 - Sydney","","","","43.70","08-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","10 Jun 16 - Sydney","","","","40.00","10-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","10 Jun 16 - Sydney","","","","154.35","10-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","13 Jun 16 - Sydney","","","","134.93","13-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","15 Jun 16 - Sydney","","","","180.55","15-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Jun 16 - Sydney","","","","369.91","16-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Jun 16 - Sydney","","","","313.74","16-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Jun 16 - Sydney","","","","161.74","16-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","17 Jun 16 - Sydney","","","","162.44","17-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","26 Jun 16 - Sydney","","","","145.41","26-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","27 Jun 16 - Sydney","","","","166.14","27-Jun-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","","","","9 Mar 16","","","","38.17","09-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","","","","12 Mar 16","","","","16.60","12-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","","","","12 Mar 16","","","","14.77","12-Mar-2016",""
"Stephen Jones","Representative","Whitlam","New South Wales","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2016","","","","3 May 16","","","","13.42","03-May-2016",""
