"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Electorate Business","1","273.00","","273.00","31-Jan-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Feb 16","9 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","05-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","11","273.00","","3,003.00","21-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Canberra","Finance and Public Administration","1","273.00","","273.00","03-Apr-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","7,848.85","01-Jan-1900","OS Delegation - Fares",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Perth to Darwin","","","","999.09","19-Jan-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Darwin to Perth","","","","807.41","28-Jan-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Perth to Canberra","","","","1,623.59","31-Jan-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Melbourne","","","","1,632.53","12-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Melbourne to Perth","","","","","12-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Perth to Canberra","","","","1,623.59","21-Feb-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Perth","","","","1,624.54","04-Mar-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Perth to Canberra","","","","1,624.54","14-Mar-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Canberra to Sydney","","","","327.02","17-Mar-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Apr 16 - Perth to Canberra","","","","1,624.54","03-Apr-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Canberra to Sydney","","","","1,639.44","04-Apr-2016","",""
"Sue Lines","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Sydney to Perth","","","","","04-Apr-2016","",""
