"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Sydney","Shadow Parliamentary Secretary - Official","1","397.00","","397.00","28-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Sydney","Electorate Business","1","397.00","","397.00","15-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","6 Mar 16","Darwin","Shadow Parliamentary Secretary - Official","3","438.00","","1,314.00","04-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Mar 16","17 Mar 16","Parramatta","Shadow Parliamentary Secretary - Official","1","258.00","","258.00","17-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Sydney","Electorate Business","1","397.00","","397.00","05-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Brisbane to Sydney","","","","698.67","28-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Sydney to Brisbane","","","","698.67","29-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Brisbane to Canberra","","","","469.90","31-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Brisbane","","","","469.90","04-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Brisbane to Canberra","","","","469.90","07-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Brisbane","","","","469.90","11-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Brisbane to Sydney","","","","698.67","15-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Sydney to Melbourne","","","","698.76","16-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Melbourne to Brisbane","","","","271.82","16-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Brisbane to Canberra","","","","469.90","21-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Brisbane","","","","469.90","25-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","469.90","28-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Sydney","","","","1,444.06","04-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Sydney to Darwin","","","","","04-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Darwin to Brisbane","","","","1,465.23","07-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","266.98","14-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Canberra to Sydney","","","","103.74","17-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Sydney to Brisbane","","","","698.67","18-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Mar 16 - Brisbane to Sydney","","","","698.67","30-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Mar 16 - Sydney to Brisbane","","","","698.67","31-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Brisbane to Sydney","","","","698.67","05-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Apr 16 - Sydney to Brisbane","","","","698.67","06-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Brisbane to Canberra","","","","469.90","17-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Sydney","","","","934.29","20-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Sydney to Cairns","","","","","20-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Apr 16 - Cairns to Brisbane","","","","611.67","21-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Brisbane to Melbourne","","","","991.59","27-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Apr 16 - Melbourne to Brisbane","","","","991.59","28-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 May 16 - Brisbane to Canberra","","","","469.90","02-May-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Brisbane","","","","203.37","06-May-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jun 16 - Brisbane to Sydney","","","","469.59","17-Jun-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jun 16 - Sydney to Brisbane","","","","469.59","17-Jun-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Jan to 19 Jan 16","","","","109.98","19-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Jan to 23 Feb 16","","","","695.24","23-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 14 Feb 16","","","","52.08","14-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Feb to 23 Mar 16","","","","695.24","23-Mar-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Mar to 23 Apr 16","","","","695.24","23-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 Apr 16","","","","49.50","02-Apr-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Apr to 23 May 16","","","","695.24","23-May-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 7 May to 28 May 16","","","","117.35","28-May-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 May to 23 Jun 16","","","","695.24","23-Jun-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Additional maintenance 20 Nov 14","","","","446.72","20-Nov-2014",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Loan car costs 27 Nov 14","","","","5.61","27-Nov-2014",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Accident excess 27 Nov 14","","","","500.00","27-Nov-2014",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Infringement notice fee 31 Oct 15","","","","15.00","31-Oct-2015",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Reimbursement of infringement notice fee 31 Oct 15","","","","-15.00","31-Oct-2015",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 5 Dec to 28 Dec 15","","","","131.62","28-Dec-2015",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 24 Dec 15 to 23 Jan 16","","","","695.24","24-Dec-2015",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","10 Jan 16 - Brisbane","","","","82.90","10-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","17 Jan 16 - Brisbane","","","","88.60","17-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","28 Jan 16 - Brisbane","","","","44.30","28-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","28 Jan 16 - Sydney","","","","43.70","28-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Sydney","","","","78.60","29-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Sydney","","","","65.50","29-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","29 Jan 16 - Brisbane","","","","49.80","29-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","31 Jan 16 - Brisbane","","","","82.90","31-Jan-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Feb 16 - Brisbane","","","","49.90","04-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Brisbane","","","","82.90","07-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","11 Feb 16 - Brisbane","","","","50.00","11-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Brisbane","","","","70.70","15-Feb-2016",""
"Terri Butler","Representative","Griffith","Queensland","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","15 Feb 16 - Sydney","","","","43.70","15-Feb-2016",""
