"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Daintree","Electorate Business","1","258.00","","258.00","18-Jan-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Feb 16","5 Feb 16","Brisbane","Indigenous Affairs","1","408.00","","408.00","05-Feb-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","6 Feb 16","Canberra","Sittings of Parliament","1","273.00","","273.00","06-Feb-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","26 Feb 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","21-Feb-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Thursday Island","Indigenous Affairs","1","351.00","","351.00","08-Mar-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","6 Apr 16","Cooktown","Electorate Business","2","258.00","","516.00","05-Apr-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Canberra","Chair Parl Committee on Committee","1","273.00","","273.00","07-Apr-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","12 Apr 16","Thursday Island","Electorate Business","2","351.00","","702.00","11-Apr-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Warren Entsch","Representative","Leichhardt","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","26 May 16","Thursday Island","Electorate Business","4","351.00","","1,404.00","23-May-2016","",""
