"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","21 Jan 16","Darwin","Electorate Business","3","438.00","","1,314.00","19-Jan-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","30 Jan 16","Melbourne","Shadow Parliamentary Secretary - Official","3","379.00","","1,137.00","28-Jan-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Sittings of Parliament","1","273.00","","273.00","31-Jan-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","13 Feb 16","Darwin","Electorate Business","2","438.00","","876.00","12-Feb-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","22 Feb 16","Broome","Shadow Parliamentary Secretary - Official","1","411.00","","411.00","22-Feb-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016",""
"Warren Snowdon","Representative","Lingiari","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Feb 16","23 Feb 16","Darwin","Electorate Business","1","438.00","","438.00","23-Feb-2016",""
