"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Wodonga","Prime Minister","1","564.00","","564.00","18-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","19 Jan 16","Canberra","Prime Minister","1","564.00","","564.00","19-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Jan 16","20 Jan 16","Townsville","Prime Minister","1","564.00","","564.00","20-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jan 16","22 Jan 16","Melbourne","Deputy Prime Minister - Official Business","2","438.00","","876.00","21-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Canberra","Deputy Prime Minister - Official Business","1","273.00","","273.00","27-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Sydney","Deputy Prime Minister - Official Business","1","438.00","","438.00","28-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","40.00","1,405.00","31-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","20.00","1,385.00","07-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Canberra","Deputy Prime Minister - Official Business","1","273.00","10.00","283.00","12-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","26 Feb 16","Brisbane","Parliamentary Political Party Meeting","1","408.00","","408.00","26-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Gympie","Electorate Business","1","258.00","","258.00","07-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Noosaville","Electorate Business","1","258.00","","258.00","04-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Apr 16","9 Apr 16","Gympie","Electorate Business","1","258.00","","258.00","09-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","24 Apr 16","Gympie","Electorate Business","1","258.00","","258.00","24-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Perth","Representing Minister or Presiding Officer","1","411.00","","411.00","27-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","6 May 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","01-May-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 May 16","8 May 16","Coonabarabran","Electorate Business","1","258.00","","258.00","08-May-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Nov 15","22 Nov 15","Canberra","Prime Minister","1","564.00","10.00","574.00","22-Nov-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","23 Nov 15","25 Nov 15","Canberra","Sittings of Parliament","3","273.00","30.00","849.00","23-Nov-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","26 Nov 15","26 Nov 15","Melbourne","Prime Minister","1","564.00","","564.00","26-Nov-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","29 Nov 15","1 Dec 15","Canberra","Prime Minister","3","564.00","30.00","1,722.00","29-Nov-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","2 Dec 15","3 Dec 15","Canberra","Sittings of Parliament","2","273.00","20.00","566.00","02-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","6 Dec 15","6 Dec 15","Toowoomba","Deputy Prime Minister - Official Business","1","368.00","","368.00","06-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","7 Dec 15","8 Dec 15","Sydney","Deputy Prime Minister - Official Business","2","438.00","10.00","886.00","07-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","17 Dec 15","17 Dec 15","Ballina","Prime Minister","1","564.00","","564.00","17-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Jan 16 - Sydney to Brisbane","","","","1,025.22","01-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Jan 16 - Brisbane to Hervey Bay","","","","","01-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Jan 16 - Hervey Bay to Brisbane","","","","284.20","15-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 Jan 16 - Melbourne to Brisbane","","","","1,328.18","24-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 Jan 16 - Brisbane to Hervey Bay","","","","","24-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Hervey Bay to Brisbane","","","","1,442.54","27-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Brisbane to Adelaide","","","","","27-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Adelaide to Canberra","","","","834.00","27-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Canberra to Sydney","","","","328.20","28-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Sydney to Brisbane","","","","966.98","29-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Brisbane to Hervey Bay","","","","","29-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Hervey Bay to Sydney","","","","760.39","31-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Sydney to Canberra","","","","","31-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Sydney","","","","1,104.15","05-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Sydney to Brisbane","","","","","05-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Hervey Bay to Sydney","","","","895.49","07-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Sydney to Canberra","","","","","07-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Canberra to Sydney","","","","337.14","13-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Sydney to Hervey Bay","","","","","13-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Hervey Bay to Sydney","","","","613.51","21-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","","21-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Brisbane","","","","1,082.96","26-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Feb 16 - Brisbane to Hervey Bay","","","","","27-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Hervey Bay to Brisbane","","","","1,071.81","28-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","","28-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Brisbane","","","","1,253.62","03-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Brisbane to Hervey Bay","","","","","04-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Hervey Bay to Brisbane","","","","1,081.58","14-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","","14-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Brisbane","","","","1,081.58","18-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Brisbane to Hervey Bay","","","","","18-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Apr 16 - Hervey Bay to Brisbane","","","","966.98","09-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Apr 16 - Brisbane to Sydney","","","","","09-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Apr 16 - Sydney to Brisbane","","","","781.48","09-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Hervey Bay to Sydney","","","","895.49","17-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Sydney to Canberra","","","","","17-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Sydney","","","","337.14","20-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Sydney to Hervey Bay","","","","","20-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Hervey Bay to Brisbane","","","","2,471.80","27-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Brisbane to Perth","","","","","27-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Apr 16 - Perth to Brisbane","","","","2,471.80","28-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Apr 16 - Brisbane to Hervey Bay","","","","","29-Apr-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Hervey Bay to Sydney","","","","895.49","01-May-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Sydney to Canberra","","","","","01-May-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","31 Dec 15 - Hervey Bay to Sydney","","","","237.15","31-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Charter","Office Holder","From 1 January 2016","","","","Brisbane to Hervey Bay 15 Jan 16","","","","3,909.09","15-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Charter","Office Holder","Before 1 January 2016","","","","Maryborough to Rockhampton 11 Dec 15","","","","6,990.00","11-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Charter","Office Holder","Before 1 January 2016","","","","Heldow Airfield Mulara to Maryborough 11 Dec 15","","","","","11-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Charter","Leader of a Minority Party","Before 1 January 2016","","","","Maryborough to Toowoomba 6 Dec 15","","","","3,181.82","06-Dec-2015","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 8 Jan to 25 Jan 16","","","","97.05","25-Jan-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 27 Jan to 26 Feb 16","","","","893.87","26-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 6 Feb to 19 Feb 16","","","","146.10","19-Feb-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 27 Feb to 26 Mar 16","","","","893.87","26-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 6 Mar to 27 Mar 16","","","","219.71","27-Mar-2016","",""
"Warren Truss","Representative","Wide Bay","Queensland","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 27 Mar to 26 Apr 16","","","","893.87","26-Apr-2016","",""
