"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","3 May 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Canberra","Sittings of Parliament","1","273.00","","273.00","05-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Jan 16 - Brisbane to Sydney","","","","746.55","13-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Jan 16 - Sydney to Brisbane","","","","746.55","13-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Jan 16 - Brisbane to Sydney","","","","1,068.04","21-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Jan 16 - Sydney to Canberra","","","","","21-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jan 16 - Canberra to Brisbane","","","","771.49","23-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Brisbane to Canberra","","","","469.90","31-Jan-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Brisbane","","","","798.76","04-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Brisbane to Canberra","","","","798.76","07-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Canberra to Brisbane","","","","798.76","08-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Feb 16 - Brisbane to Canberra","","","","798.76","09-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Brisbane","","","","798.76","11-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Brisbane to Sydney","","","","781.48","13-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Sydney to Brisbane","","","","226.36","13-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Feb 16 - Brisbane to Newcastle","","","","474.33","17-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Feb 16 - Newcastle to Brisbane","","","","474.33","17-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Brisbane to Canberra","","","","798.76","21-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Brisbane","","","","469.90","25-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","798.76","28-Feb-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Brisbane","","","","526.99","03-Mar-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","798.76","14-Mar-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Canberra to Brisbane","","","","798.76","17-Mar-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Brisbane to Canberra","","","","798.76","17-Apr-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Adelaide","","","","1,992.34","19-Apr-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Adelaide to Brisbane","","","","","19-Apr-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Apr 16 - Brisbane to Barcaldine","","","","403.81","30-Apr-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 May 16 - Barcaldine to Longreach","","","","403.81","02-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 May 16 - Longreach to Brisbane","","","","","02-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 May 16 - Brisbane to Canberra","","","","798.76","02-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Brisbane","","","","798.76","06-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 May 16 - Brisbane to Gladstone","","","","429.68","26-May-2016","",""
"Wayne Swan","Representative","Lilley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 May 16 - Gladstone to Brisbane","","","","429.68","27-May-2016","",""
