"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","2 Dec 16","Canberra","Sittings of Parliament","13","276.00","","3,588.00","20-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Aug 16 - Newcastle to Melbourne","","","","45.45","14-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","689.24","28-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Melbourne","","","","416.12","01-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Melbourne to Canberra","","","","689.24","11-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Melbourne","","","","613.09","15-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Sep 16 - Melbourne to Sydney","","","","808.14","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Sep 16 - Sydney to Melbourne","","","","808.14","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Melbourne to Canberra","","","","689.24","06-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Melbourne","","","","613.09","10-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Melbourne to Canberra","","","","149.76","20-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","18 Mar 16 - Sydney to Newcastle","","","","40.00","18-Mar-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 13 Jul to 12 Aug 16","","","","1,343.51","12-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Jul to 26 Aug 16","","","","92.71","26-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 13 Aug to 12 Sep 16","","","","1,343.51","12-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 13 Sep to 12 Oct 16","","","","1,343.51","12-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 27 Sep 16","","","","41.90","27-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 13 Oct to 12 Nov 16","","","","1,343.49","12-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 12 Nov 16","","","","42.96","12-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 13 Nov to 12 Dec 16","","","","1,343.49","12-Dec-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Reimbursement of infringement notice fee 6 Dec 15","","","","-15.00","06-Dec-2015",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 13 May to 12 Jun 16","","","","1,343.51","12-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 2 Jun to 22 Jun 16","","","","99.75","22-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 13 Jun to 12 Jul 16","","","","1,343.51","12-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Infringement notice fee 17 Jun 16","","","","15.00","17-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Reimbursement of infringement notice fee 17 Jun 16","","","","-15.00","17-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","28 Aug 16 - Melbourne","","","","80.80","28-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","1 Sep 16 - Melbourne","","","","40.00","01-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","11 Sep 16 - Melbourne","","","","80.80","11-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","15 Sep 16 - Melbourne","","","","44.20","15-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","22 Sep 16 - Melbourne","","","","42.20","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","22 Sep 16 - Sydney","","","","43.70","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","22 Sep 16 - Sydney","","","","40.61","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","22 Sep 16 - Melbourne","","","","85.00","22-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","6 Nov 16 - Melbourne","","","","80.80","06-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","10 Nov 16 - Melbourne","","","","44.20","10-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","20 Nov 16 - Melbourne","","","","105.80","20-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","20 Nov 16 - Canberra","","","","130.40","20-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","21 Nov 16 - Canberra","","","","209.60","21-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","23 Nov 16 - Canberra","","","","40.00","23-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","27 Nov 16 - Canberra","","","","78.60","27-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","27 Nov 16 - Canberra","","","","78.60","27-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","27 Nov 16 - Canberra","","","","103.60","27-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","30 Nov 16 - Canberra","","","","40.00","30-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","2 Dec 16 - Canberra","","","","93.23","02-Dec-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","2 Dec 16 - Melbourne","","","","69.20","02-Dec-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","COMCAR","Before 1 July 2016","","","","8 Jun 16 - Brisbane","","","","75.00","08-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Car Costs","Other Car Costs","From 1 July 2016","","","","Taxi 1 Sep 16","","","","46.95","01-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","80,972.87","01-Jan-1900",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Facilities","Office Facilities","Before 1 July 2016","","","","Aggregated Total","","","","4,607.29","01-Jan-1900",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Jul to 31 Jul 16","","","","53.06","31-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Jul to 31 Jul 16","","","","275.00","31-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 28 Jul to 27 Aug 16","","","","157.31","27-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 28 Jul to 27 Aug 16","","","","10.88","27-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Aug to 31 Aug 16","","","","8.77","31-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Aug to 31 Aug 16","","","","500.40","31-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 28 Aug to 27 Sep 16","","","","754.36","27-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 28 Aug to 27 Sep 16","","","","32.70","27-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Sep to 30 Sep 16","","","","244.22","30-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 28 Sep to 27 Oct 16","","","","688.97","27-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 28 Sep to 27 Oct 16","","","","88.68","27-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Oct to 31 Oct 16","","","","373.03","31-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Oct to 31 Oct 16","","","","627.00","31-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 28 Oct to 27 Nov 16","","","","433.00","27-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 28 Oct to 27 Nov 16","","","","43.98","27-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Nov to 30 Nov 16","","","","124.90","30-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Flags 1 Nov to 30 Nov 16","","","","326.85","30-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","Reimbursement of flags 1 Jun to 30 Jun 15","","","","-2.00","30-Jun-2015",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","Office requisites and stationery 1 May to 31 May 16","","","","2,782.82","31-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","Flags 1 May to 31 May 16","","","","635.71","31-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","MFD Colour copy charge 28 May to 27 Jun 16","","","","1,411.58","27-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","MFD Monochrome copy charge 28 May to 27 Jun 16","","","","85.19","27-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","Office requisites and stationery 1 Jun to 30 Jun 16","","","","1,161.19","30-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","Flags 1 Jun to 30 Jun 16","","","","129.96","30-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","MFD Monochrome copy charge 28 Jun to 27 Jul 16","","","","12.68","27-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","","","","MFD Colour copy charge 28 Jun to 27 Jul 16","","","","857.81","27-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Jul to 31 Jul 16","","","","14.68","31-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","200 Printed items 18 Jul 16","","","","214.00","18-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Aug to 31 Aug 16","","","","2.95","31-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 8 Aug 16","","","","30.03","08-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Web-design 10 Aug 16","","","","3,681.96","10-Aug-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution late payment fee Sep 16","","","","15.00","01-Jan-1900",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Sep to 30 Sep 16","","","","1.09","30-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Printing 7 Sep 16","","","","150.00","07-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","110,000 Printed items 26 Sep 16","","","","23,863.00","26-Sep-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution credit 1 Oct to 15 Oct 16","","","","-113.64","15-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Oct to 15 Oct 16","","","","4,545.45","15-Oct-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","Distribution 1 Nov to 30 Nov 16","","","","108.36","30-Nov-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","From 1 July 2016","","","","1,000 Printed items 1 Dec 16","","","","1,204.00","01-Dec-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Printing 12 Apr 16","","","","90.91","12-Apr-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","54,512 Postal vote applications 26 Apr 16","","","","15,137.61","26-Apr-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","e-material 17 May 16","","","","2,515.00","17-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Printing 20 May 16","","","","500.00","20-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Printing 24 May 16","","","","11,000.00","24-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","65,000 Printed items 31 May 16","","","","21,720.00","31-May-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Web-design 1 Jun 16","","","","3,000.00","01-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Web-design 1 Jun 16","","","","3,500.00","01-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Web-design 1 Jun 16","","","","3,000.00","01-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Distribution 1 Jun to 30 Jun 16","","","","907.34","30-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","Printing 1 Jun 16","","","","2,500.00","01-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","300 Printed items 6 Jun 16","","","","385.00","06-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Printing and Communications","Before 1 July 2016","","","","20,000 Printed items 28 Jun 16","","","","1,043.00","28-Jun-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Publications","From 1 July 2016","","","","1 The Age (digital) 7 Jul 16","","","","23.07","07-Jul-2016",""
"Adam Bandt","Representative","Melbourne","Victoria","Australian Greens","Office Administrative Costs","Publications","From 1 July 2016","","","","1 The Australian Financial Review (digital) 11 Jul to 10 Aug 16","","","","54.44","10-Aug-2016",""
