"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","12-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Jul 16","13 Jul 16","Sydney","Minister - Official Business","1","438.00","","438.00","13-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","19 Jul 16","Canberra","Minister - Official Business","3","273.00","","819.00","17-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Jul 16","24 Jul 16","Sydney","Minister - Official Business","1","438.00","","438.00","24-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","7 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","07-Aug-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","16-Aug-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","22-Aug-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","23 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","23-Aug-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","5 Sep 16","Perth","Minister - Official Business","1","442.00","","442.00","05-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","7 Sep 16","Kununurra","Minister - Official Business","2","379.00","","758.00","06-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","20 Sep 16","Canberra","Minister - Official Business","2","276.00","","552.00","19-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Sydney","Minister - Official Business","1","442.00","","442.00","21-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Canberra","Minister - Official Business","1","276.00","","276.00","27-Sep-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Canberra","Minister - Official Business","1","276.00","","276.00","04-Oct-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Oct 16","23 Oct 16","Sydney","Minister - Official Business","1","442.00","","442.00","23-Oct-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","25 Oct 16","Canberra","Minister - Official Business","2","276.00","","552.00","24-Oct-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Sydney","Minister - Official Business","1","442.00","","442.00","17-Nov-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","23 Jun 16","23 Jun 16","Sydney","Minister - Official Business","1","438.00","","438.00","23-Jun-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","1,025.41","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","430.00","01-Jan-1900","OS Ministerial - Equipment allowance",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","4,695.44","01-Jan-1900","OS Ministerial - Fares",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","189.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","9.44","01-Jan-1900","OS Ministerial - Related travel expenses",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","89.14","01-Jan-1900","OS Ministerial - Travel advance",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Jul 16 - Melbourne to Canberra","","","","613.09","12-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Jul 16 - Canberra to Sydney","","","","329.04","13-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Jul 16 - Sydney to Melbourne","","","","781.55","14-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Melbourne to Canberra","","","","613.09","17-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Jul 16 - Canberra to Melbourne","","","","687.87","20-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Jul 16 - Melbourne to Sydney","","","","698.76","24-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Jul 16 - Sydney to Melbourne","","","","290.10","25-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Jul 16 - Melbourne to Canberra","","","","687.87","28-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Jul 16 - Canberra to Melbourne","","","","613.09","28-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Melbourne to Sydney","","","","1,062.30","29-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Sydney to Cairns","","","","","29-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Cairns to Gove","","","","717.27","29-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","31 Jul 16 - Gove to Cairns","","","","717.27","31-Jul-2016","",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","31 Jul 16 - Cairns to Melbourne","","","","1,057.85","31-Jul-2016","",""
