"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","19 Jul 16 - Canberra to Sydney","1,679.45","","19-Jul-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","19 Jul 16 - Sydney to Perth","","","19-Jul-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Oct 16 - Perth to Sydney","1,916.23","","09-Oct-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Oct 16 - Sydney to Canberra","","","09-Oct-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","11 Oct 16 - Canberra to Sydney","526.99","","11-Oct-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","11 Oct 16 - Sydney to Perth","1,988.40","","11-Oct-2016"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Broome 10 Jun 15","107.96","","10-Jun-2015"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Broome 11 Jun 15","122.73","","11-Jun-2015"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","135.16","","01-Jan-1900"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Refund of printed items 30 Sep 15","-100.00","","30-Sep-2015"
"Alannah MacTiernan","Representative","Perth","Western Australia","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 5 Nov 15","90.91","","05-Nov-2015"
