"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Assistant Minister - Official Business","2","273.00","","546.00","17-Jul-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","28 Jul 16","Canberra","Assistant Minister - Official Business","2","273.00","","546.00","27-Jul-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","16 Sep 16","Canberra","Assistant Minister - Official Business","1","276.00","","276.00","16-Sep-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","28 Sep 16","Canberra","Assistant Minister - Official Business","2","276.00","","552.00","27-Sep-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Canberra","Assistant Minister - Official Business","1","276.00","","276.00","05-Oct-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","3 Nov 16","Melbourne","Assistant Minister - Official Business","2","442.00","","884.00","02-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","16 Nov 16","Brisbane","Assistant Minister - Official Business","2","372.00","","744.00","15-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Sydney","","","","334.35","16-Sep-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Nov 16 - Sydney to Melbourne","","","","808.14","02-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Nov 16 - Melbourne to Sydney","","","","808.14","04-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Nov 16 - Sydney to Brisbane","","","","781.48","15-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Nov 16 - Brisbane to Sydney","","","","781.48","17-Nov-2016",""
"Alex Hawke","Representative","Mitchell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 8 Jul 16","","","","61.80","08-Jul-2016",""
