"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","17-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 28 Jul to 27 Aug 16","","","","1,732.25","27-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 3 Aug to 28 Aug 16","","","","777.15","28-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Additional maintenance 12 Aug 16","","","","513.09","12-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 28 Aug to 27 Sep 16","","","","1,732.25","27-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 6 Sep to 25 Sep 16","","","","583.26","25-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 28 Sep to 27 Oct 16","","","","1,732.25","27-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Sep to 29 Oct 16","","","","703.47","29-Oct-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 28 Oct to 27 Nov 16","","","","1,732.24","27-Nov-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Orange to Canberra 12 Jul 16","","","","194.04","12-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Orange 13 Jul 16","","","","194.04","13-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Orange to Canberra 17 Jul 16","","","","194.04","17-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Orange 18 Jul 16","","","","194.04","18-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","87,356.14","01-Jul-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Jul to 23 Aug 16","","","","0.36","23-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Jul to 23 Aug 16","","","","42.48","23-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Aug to 31 Aug 16","","","","101.15","31-Aug-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Aug to 23 Sep 16","","","","28.08","23-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Aug to 23 Sep 16","","","","0.58","23-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Monochrome copy charge 24 Aug to 23 Sep 16","","","","5.67","23-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","MFD Colour copy charge 24 Aug to 23 Sep 16","","","","10.36","23-Sep-2016"
"Andrew Gee","Representative","Calare","New South Wales","The Nationals","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","","","","Office requisites and stationery 1 Sep to 30 Sep 16","","","","46.40","30-Sep-2016"
