"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","7 Jul 16 - Launceston to Melbourne","916.06","","07-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","7 Jul 16 - Melbourne to Canberra","","","07-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Jul 16 - Canberra to Melbourne","400.80","","08-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","8 Jul 16 - Melbourne to Launceston","","","08-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Jul 16 - Canberra to Melbourne","916.06","","10-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Jul 16 - Melbourne to Launceston","","","10-Jul-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Aug 16 - Launceston to Melbourne","916.06","","03-Aug-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Aug 16 - Melbourne to Canberra","","","03-Aug-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","22 Aug 16 - Canberra to Melbourne","1,065.78","","22-Aug-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","22 Aug 16 - Melbourne to Launceston","","","22-Aug-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","17 Sep 16 - Launceston to Melbourne","916.06","","17-Sep-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","17 Sep 16 - Melbourne to Canberra","","","17-Sep-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","24 Oct 16 - Canberra to Melbourne","916.06","","24-Oct-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","24 Oct 16 - Melbourne to Launceston","","","24-Oct-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Nov 16 - Launceston to Melbourne","978.72","","10-Nov-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Nov 16 - Melbourne to Canberra","","","10-Nov-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","23 Nov 16 - Canberra to Melbourne","916.06","","23-Nov-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","23 Nov 16 - Melbourne to Launceston","","","23-Nov-2016"
"Andrew Nikolic","Representative","Bass","Tasmania","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","26 Nov 16 - Launceston to Sydney","397.57","","26-Nov-2016"
