"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Jul 16","13 Jul 16","Melbourne","Electorate Business","1","379.00","","379.00","13-Jul-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","26 Sep 16","Sydney","Electorate Business","1","400.00","","400.00","26-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","10-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Jul 16 - Hobart to Melbourne","","","","714.26","13-Jul-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Jul 16 - Melbourne to Hobart","","","","714.26","14-Jul-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Hobart to Sydney","","","","770.63","28-Aug-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Sydney to Canberra","","","","","28-Aug-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Sydney","","","","770.63","02-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Sydney to Hobart","","","","","02-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Hobart to Melbourne","","","","786.55","11-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Melbourne to Canberra","","","","","11-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Melbourne","","","","786.55","16-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Melbourne to Hobart","","","","","16-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Sep 16 - Hobart to Sydney","","","","653.08","26-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Sep 16 - Sydney to Hobart","","","","653.08","27-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Oct 16 - Hobart to Melbourne","","","","749.77","10-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Oct 16 - Melbourne to Canberra","","","","","10-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Oct 16 - Canberra to Melbourne","","","","749.77","14-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Oct 16 - Melbourne to Hobart","","","","","14-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Hobart to Melbourne","","","","749.77","16-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Melbourne to Canberra","","","","","16-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Canberra to Sydney","","","","810.37","21-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Sydney to Hobart","","","","","21-Oct-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Hobart to Melbourne","","","","749.77","06-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Melbourne to Canberra","","","","","06-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Canberra to Sydney","","","","749.40","11-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Nov 16 - Sydney to Hobart","","","","","11-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Nov 16 - Hobart to Sydney","","","","770.63","19-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Nov 16 - Sydney to Canberra","","","","","19-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Canberra to Sydney","","","","749.40","25-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Sydney to Hobart","","","","","25-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Hobart to Melbourne","","","","882.09","27-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Melbourne to Canberra","","","","","27-Nov-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 10 Jul 16","","","","62.15","10-Jul-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Jul to 18 Aug 16","","","","1,002.26","18-Aug-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 23 Jul 16","","","","50.46","23-Jul-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 4 Aug to 22 Aug 16","","","","117.59","22-Aug-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Aug to 18 Sep 16","","","","1,002.26","18-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 10 Sep 16","","","","60.40","10-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 15 Sep 16","","","","0.34","15-Sep-2016",""
"Andrew Wilkie","Representative","Denison","Tasmania","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Sep to 18 Oct 16","","","","1,002.26","18-Oct-2016",""
