"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Jul 16","25 Jul 16","Sydney","Assistant Minister - Official Business","2","146.00","","292.00","24-Jul-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Jul 16","31 Jul 16","Camden","Electorate Business","1","368.00","","368.00","31-Jul-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","11 Aug 16","Sydney","Assistant Minister - Official Business","2","146.00","","292.00","10-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Sydney","Assistant Minister - Official Business","1","146.00","","146.00","16-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","17-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","21 Aug 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","21-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","23 Aug 16","Townsville","Assistant Minister - Official Business","2","368.00","","736.00","22-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Sydney","Assistant Minister - Official Business","1","146.00","","146.00","24-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","25 Aug 16","Launceston","Assistant Minister - Official Business","1","368.00","","368.00","25-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","6 Sep 16","Sydney","Assistant Minister - Official Business","2","148.00","","296.00","05-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Camden","Electorate Business","1","372.00","","372.00","07-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Melbourne","Assistant Minister - Official Business","1","442.00","","442.00","08-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","12-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","18 Sep 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","18-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Camden","Electorate Business","1","268.00","","268.00","19-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Canberra","Assistant Minister - Official Business","1","276.00","","276.00","27-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","29 Sep 16","Sydney","Assistant Minister - Official Business","2","442.00","","884.00","28-Sep-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","05-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","10-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","17-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Oct 16","21 Oct 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","21-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","25 Oct 16","Sydney","Assistant Minister - Official Business","2","148.00","","296.00","24-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Oct 16","28 Oct 16","Camden","Electorate Business","2","372.00","","744.00","27-Oct-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","2 Nov 16","Perth","Assistant Minister - Official Business","1","442.00","","442.00","02-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Nov 16","3 Nov 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","03-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","11 Nov 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","11-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Nov 16","13 Nov 16","Townsville","Assistant Minister - Official Business","1","372.00","","372.00","13-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Sydney","Assistant Minister - Official Business","1","148.00","","148.00","16-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Camden","Electorate Business","1","372.00","","372.00","17-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","21-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","2 Apr 16","2 Apr 16","Cowra","Electorate Business","-1","368.00","","-368.00*","02-Apr-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","6 Jun 16","6 Jun 16","Camden","Electorate Business","1","368.00","","368.00","06-Jun-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","15 Jun 16","16 Jun 16","Camden","Electorate Business","2","368.00","","736.00","15-Jun-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","*","","","","","","","","01-Jan-1900",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","","Adjustment by Member.","","","","","","","01-Jan-1900",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Jul 16 - Townsville to Brisbane","","","","561.30","26-Jul-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Jul 16 - Brisbane to Sydney","","","","","26-Jul-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Aug 16 - Canberra to Brisbane","","","","799.62","05-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","5 Aug 16 - Brisbane to Canberra","","","","739.64","05-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Sydney to Brisbane","","","","781.48","17-Aug-2016",""
"Angus Taylor","Representative","Hume","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Brisbane to Sydney","","","","781.48","18-Aug-2016",""
