"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","8 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","07-Jul-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Jul 16","22 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","22-Jul-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","25 Aug 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","24-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Sep 16","1 Sep 16","Canberra","Sittings of Parliament","1","276.00","","276.00","01-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Perth to Canberra","","","","981.80","07-Jul-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Jul 16 - Canberra to Perth","","","","","09-Jul-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Jul 16 - Canberra to Perth","","","","340.91","23-Jul-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Perth to Canberra","","","","821.29","15-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Perth","","","","821.29","17-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Perth to Melbourne","","","","1,673.97","24-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Melbourne to Canberra","","","","","24-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Aug 16 - Canberra to Melbourne","","","","2,357.39","27-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Aug 16 - Melbourne to Perth","","","","","27-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Perth to Canberra","","","","821.29","28-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Melbourne","","","","1,673.97","02-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Melbourne to Perth","","","","","02-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Perth to Sydney","","","","841.67","11-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Sydney to Canberra","","","","","11-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Perth","","","","821.29","16-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Oct 16 - Perth to Canberra","","","","821.29","08-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Perth","","","","821.29","20-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Perth to Canberra","","","","821.29","06-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Perth","","","","821.29","10-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Perth to Canberra","","","","821.29","20-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Perth","","","","821.29","24-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Nov 16 - Sydney to Canberra","","","","334.35","28-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Melbourne","","","","836.19","02-Dec-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Melbourne to Perth","","","","","02-Dec-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 9 Aug to 22 Aug 16","","","","119.68","22-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Loan car costs 9 Aug 16","","","","73.22","09-Aug-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Aug to 18 Sep 16","","","","1,014.32","18-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 25 Aug to 8 Sep 16","","","","160.02","08-Sep-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Sep to 18 Oct 16","","","","1,014.32","18-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Oct to 18 Nov 16","","","","1,014.32","18-Nov-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Loan car costs 27 Oct 16","","","","60.19","27-Oct-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 19 Nov to 18 Dec 16","","","","1,014.32","18-Dec-2016",""
"Anne Aly","Representative","Cowan","Western Australia","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Loan car costs 21 Nov 16","","","","577.61","21-Nov-2016",""
