"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Jul 16","20 Jul 16","Canberra","Electorate Business","1","273.00","","273.00","20-Jul-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","10-Oct-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Jul 16 - Melbourne to Canberra","","","","613.09","20-Jul-2016",""
"Anthony Byrne","Representative","Holt","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Melbourne","","","","687.87","22-Jul-2016",""
