"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","10 Aug 16","Gladstone","Electorate Business","1","338.00","","338.00","10-Aug-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","22-Aug-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Cairns","Electorate Business","1","307.00","","307.00","04-Oct-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Townsville","Electorate Business","1","297.00","","297.00","05-Oct-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Mackay","Electorate Business","1","315.00","","315.00","06-Oct-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","16 Oct 16","Canberra","Sittings of Parliament","8","276.00","","2,208.00","09-Oct-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","1","276.00","","276.00","20-Oct-2016",""
"Anthony Chisholm","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Nov 16","3 Nov 16","Cairns","Electorate Business","1","307.00","","307.00","03-Nov-2016",""
