"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Sydney","Deputy Prime Minister - Official Business","1","438.00","10.00","448.00","17-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Canberra","Deputy Prime Minister - Official Business","1","273.00","10.00","283.00","18-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Brisbane","Deputy Prime Minister - Official Business","1","430.00","10.00","440.00","27-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Jul 16","29 Jul 16","Canberra","Deputy Prime Minister - Official Business","2","273.00","10.00","556.00","28-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Jul 16","30 Jul 16","Sydney","Deputy Prime Minister - Official Business","1","438.00","10.00","448.00","30-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Jul 16","31 Jul 16","Sydney","Deputy Prime Minister - Official Business","1","438.00","10.00","448.00","31-Jul-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Aug 16","11 Aug 16","Armidale","Electorate Business","1","368.00","10.00","378.00","11-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Aug 16","12 Aug 16","Tenterfield","Electorate Business","1","368.00","10.00","378.00","12-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Sydney","Deputy Prime Minister - Official Business","1","438.00","","438.00","15-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Canberra","Deputy Prime Minister - Official Business","1","273.00","","273.00","16-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Aug 16","20 Aug 16","Canberra","Deputy Prime Minister - Official Business","2","273.00","20.00","566.00","19-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Canberra","Deputy Prime Minister - Official Business","1","273.00","","273.00","22-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Brisbane","Parliamentary Political Party Meeting","1","430.00","10.00","440.00","27-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Armidale","Electorate Business","1","372.00","","372.00","07-Sep-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Barnaby Joyce","Representative","New England","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Rockhampton","Deputy Prime Minister - Official Business","1","372.00","","372.00","19-Sep-2016",""
