"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Official Government or Vice-Regal Function","1","273.00","","273.00","15-Aug-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Canberra","Sittings of Parliament","1","273.00","","273.00","27-Aug-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Sep 16","1 Sep 16","Melbourne","Sittings of Parliament","1","382.00","","382.00","01-Sep-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Sep 16","20 Sep 16","Canberra","Electorate Business","1","276.00","","276.00","20-Sep-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","6","276.00","","1,656.00","08-Oct-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Nov 16","13 Nov 16","Hobart","Electoral Matters","1","330.00","","330.00","13-Nov-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Melbourne","Electoral Matters","1","382.00","","382.00","14-Nov-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","16 Nov 16","Sydney","Electoral Matters","2","400.00","","800.00","15-Nov-2016",""
"Ben Morton","Representative","Tangney","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
