"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Jul 16","5 Jul 16","Brisbane","Leader of the Opposition - Official Business","1","144.00","10.00","154.00","05-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","07-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Jul 16","13 Jul 16","Adelaide","Leader of the Opposition - Official Business","1","382.00","","382.00","13-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Jul 16","19 Jul 16","Sydney","Leader of the Opposition - Official Business","1","438.00","10.00","448.00","19-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","22 Jul 16","Canberra","Leader of the Opposition - Official Business","2","273.00","","546.00","21-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Jul 16","31 Jul 16","Darwin","Leader of the Opposition - Official Business","3","460.00","30.00","1,410.00","29-Jul-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","1 Aug 16","Townsville","Leader of the Opposition - Official Business","1","368.00","","368.00","01-Aug-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Aug 16","4 Aug 16","Sydney","Leader of the Opposition - Official Business","1","438.00","","438.00","04-Aug-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Rockhampton","Leader of the Opposition - Official Business","1","368.00","","368.00","15-Aug-2016","",""
"Bill Shorten","Representative","Maribyrnong","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Canberra","Leader of the Opposition - Official Business","1","273.00","","273.00","17-Aug-2016","",""
