"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Jul 16","13 Jul 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","13-Jul-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Aug 16","3 Aug 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","03-Aug-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","08-Aug-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Aug 16","11 Aug 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","11-Aug-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Darwin","Shadow Minister - Official Business","1","438.00","","438.00","16-Aug-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Gold Coast","Shadow Minister - Official Business","1","354.00","","354.00","06-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","07-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","08-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Adelaide","Shadow Minister - Official Business","1","362.00","","362.00","19-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","21-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Perth","Shadow Minister - Official Business","1","399.00","","399.00","28-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Sep 16","29 Sep 16","Brisbane","Shadow Minister - Official Business","1","411.00","","411.00","29-Sep-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Darwin","Shadow Minister - Official Business","1","441.00","","441.00","05-Oct-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Oct 16","27 Oct 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","27-Oct-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Oct 16","28 Oct 16","Brisbane","Shadow Minister - Official Business","1","411.00","","411.00","28-Oct-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","15 Nov 16","Townsville","Shadow Minister - Official Business","1","297.00","","297.00","15-Nov-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","2 Dec 16","Canberra","Sittings of Parliament","6","276.00","","1,656.00","27-Nov-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Dec 16","9 Dec 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","09-Dec-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Dec 16","13 Dec 16","Rockhampton","Shadow Minister - Official Business","1","286.00","","286.00","13-Dec-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Dec 16","14 Dec 16","Brisbane","Shadow Minister - Official Business","1","411.00","","411.00","14-Dec-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","17 May 16","18 May 16","Sydney","Shadow Minister - Official Business","2","397.00","","794.00","17-May-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","22 May 16","23 May 16","Perth","Shadow Minister - Official Business","2","411.00","","822.00","22-May-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","25 May 16","26 May 16","Darwin","Shadow Minister - Official Business","2","438.00","","876.00","25-May-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","29 May 16","29 May 16","Moranbah","Shadow Minister - Official Business","1","258.00","","258.00","29-May-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","30 May 16","30 May 16","Cairns","Shadow Minister - Official Business","1","291.00","","291.00","30-May-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Jul 16 - Sydney to Melbourne","","","","781.55","01-Jul-2016",""
"Brendan O'Connor","Representative","Gorton","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Melbourne to Canberra","","","","687.87","07-Jul-2016",""
