"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","17 Aug 16","Canberra","Electorate Business","3","273.00","","819.00","15-Aug-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","22-Aug-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Aug 16","2 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","30-Aug-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Oct 16","30 Oct 16","Sydney","Electorate Business","1","400.00","","400.00","30-Oct-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","2 Nov 16","Tenterfield","Electorate Business","1","268.00","","268.00","02-Nov-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","11 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","07-Nov-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","12","276.00","","3,312.00","20-Nov-2016",""
"Brian Burston","Senator","","New South Wales","Pauline Hanson's One Nation","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Canberra to Brisbane","","","","535.60","25-Nov-2016",""
