"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","13 Jul 15 - Newcastle to Canberra","369.25","","13-Jul-2015"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","23 Mar 16 - Sydney to Melbourne","-43.35","Refund","23-Mar-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","129.28","","01-Jul-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution late payment fee May 16","15.00","","01-Jul-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 9 May 16","-514.31","","09-May-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 9 May 16","-68.71","","09-May-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 Herald Sun 28 Mar to 29 Apr 16","34.09","","29-Apr-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","23 The Australian Financial Review 28 Mar to 29 Apr 16","83.64","","29-Apr-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Age 28 Mar to 29 Apr 16","56.82","","29-Apr-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","25 The Australian 28 Mar to 29 Apr 16","61.36","","29-Apr-2016"
"Bruce Billson","Representative","Dunkley","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 July 2016","Administrative fees 28 Mar to 29 Apr 16","23.41","","29-Apr-2016"
