"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Type"
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Aug 16 - Brisbane to Canberra","470.74","","10-Aug-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","19 Aug 16 - Canberra to Brisbane","470.74","","19-Aug-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","1 Oct 16 - Brisbane to Longreach","80.00","","01-Oct-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Oct 16 - Longreach to Brisbane","80.00","","03-Oct-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","3 Oct 16 - Brisbane to Roma","","","03-Oct-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Nov 16 - Roma to Brisbane","1,127.91","","09-Nov-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Nov 16 - Brisbane to Sydney","","","09-Nov-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","9 Nov 16 - Sydney to Canberra","","","09-Nov-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Nov 16 - Canberra to Sydney","80.00","","10-Nov-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Nov 16 - Sydney to Brisbane","","","10-Nov-2016",""
"Bruce Scott","Representative","Maranoa","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","10 Nov 16 - Brisbane to Roma","","","10-Nov-2016",""
