"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Jul 16","22 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","22-Jul-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","1 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","01-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Aug 16","3 Aug 16","Perth","Shadow Minister - Official Business","1","411.00","","411.00","03-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","21 Aug 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","21-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","22-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","12-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Sep 16","15 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","15-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","18 Sep 16","Alice Springs","Shadow Minister - Official Business","1","304.00","","304.00","18-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Darwin","Shadow Minister - Official Business","1","441.00","","441.00","19-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Melbourne","Shadow Minister - Official Business","1","382.00","","382.00","28-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Sep 16","29 Sep 16","Perth","Shadow Minister - Official Business","1","399.00","","399.00","29-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","10 Oct 16","Canberra","Sittings of Parliament","2","276.00","","552.00","09-Oct-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","2 Nov 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","02-Nov-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Dec 16","5 Dec 16","Melbourne","Shadow Minister - Official Business","1","382.00","","382.00","05-Dec-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Melbourne to Canberra","","","","687.87","08-Jul-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Melbourne","","","","687.87","08-Jul-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Melbourne to Canberra","","","","687.87","21-Jul-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Melbourne","","","","687.87","22-Jul-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Aug 16 - Melbourne to Canberra","","","","613.09","01-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Aug 16 - Canberra to Melbourne","","","","687.87","02-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Melbourne to Perth","","","","1,946.80","03-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Aug 16 - Perth to Melbourne","","","","1,946.80","04-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Aug 16 - Melbourne to Adelaide","","","","775.37","11-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Aug 16 - Adelaide to Melbourne","","","","775.37","11-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Aug 16 - Melbourne to Sydney","","","","808.14","21-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Sydney to Melbourne","","","","808.14","22-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","689.24","28-Aug-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Melbourne","","","","416.12","01-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Sep 16 - Melbourne to Canberra","","","","689.24","12-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Sydney","","","","808.14","15-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Sydney to Melbourne","","","","","16-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Sydney","","","","599.25","15-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Sep 16 - Melbourne to Alice Springs","","","","1,165.22","18-Sep-2016",""
"Catherine King","Representative","Ballarat","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Sep 16 - Alice Springs to Darwin","","","","869.61","19-Sep-2016",""
