"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","3","276.00","","828.00","29-Aug-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Sep 16","29 Sep 16","Benalla","Electorate Business","1","286.00","","286.00","29-Sep-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Jul to 3 Aug 16","","","","1,822.90","03-Aug-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 29 Jul to 16 Aug 16","","","","314.96","16-Aug-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Aug to 3 Sep 16","","","","1,822.90","03-Sep-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 20 Aug 16","","","","64.23","20-Aug-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 25 Aug 16","","","","54.06","25-Aug-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 1 Sep to 22 Sep 16","","","","382.82","22-Sep-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Sep to 3 Oct 16","","","","1,822.90","03-Oct-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 29 Sep to 27 Oct 16","","","","506.30","27-Oct-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Oct to 3 Nov 16","","","","1,822.89","03-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Oct to 24 Nov 16","","","","383.38","24-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 1 Nov 16","","","","46.66","01-Nov-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 4 Nov to 3 Dec 16","","","","1,822.89","03-Dec-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","End of lease adj 24 Feb to 23 Mar 16","","","","-1,593.98","23-Mar-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","End of lease adj 24 Mar to 23 Apr 16","","","","-1,593.98","23-Apr-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 23 May to 22 Jun 16","","","","833.49","22-Jun-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Lease 4 Jun to 3 Jul 16","","","","1,822.90","03-Jul-2016",""
"Cathy McGowan","Representative","Indi","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","","","","Fuel 23 Jun to 19 Jul 16","","","","641.95","19-Jul-2016",""
