"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","17 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","15-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","25 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","23-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Townsville to Brisbane","","","","652.71","15-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Brisbane to Canberra","","","","","15-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Canberra to Brisbane","","","","652.71","18-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Brisbane to Townsville","","","","","18-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Townsville to Brisbane","","","","652.71","23-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Brisbane to Canberra","","","","","23-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Aug 16 - Canberra to Brisbane","","","","652.71","26-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Aug 16 - Brisbane to Townsville","","","","","26-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Townsville to Brisbane","","","","315.68","28-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","","28-Aug-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Brisbane","","","","652.71","02-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Brisbane to Townsville","","","","","02-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Townsville to Sydney","","","","315.30","11-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Sydney to Canberra","","","","","11-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","799.62","16-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Brisbane to Townsville","","","","508.32","16-Sep-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Oct 16 - Townsville to Brisbane","","","","508.32","07-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","289.27","09-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Canberra to Brisbane","","","","652.71","21-Oct-2016",""
"Cathy O'Toole","Representative","Herbert","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Brisbane to Townsville","","","","","21-Oct-2016",""
