"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Minister - Official Business","2","273.00","20.00","566.00","17-Jul-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","28 Jul 16","Canberra","Minister - Official Business","2","273.00","","546.00","27-Jul-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","7 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","07-Aug-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","14 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","14-Aug-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","15-Aug-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","22 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","21-Aug-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","12-Sep-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","20 Sep 16","Canberra","Minister - Official Business","3","276.00","","828.00","18-Sep-2016",""
"Christian Porter","Representative","Pearce","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","26 Sep 16","Sydney","Minister - Official Business","1","442.00","","442.00","26-Sep-2016",""
