"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","20 Jul 16","Canberra","Minister - Official Business","4","273.00","","1,092.00","17-Jul-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Jul 16","25 Jul 16","Perth","Minister - Official Business","1","158.00","","158.00","25-Jul-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jul-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","02-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","08-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Cairns","Minister - Official Business","1","368.00","","368.00","09-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Aug 16","10 Aug 16","Brisbane","Minister - Official Business","1","430.00","","430.00","10-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","15-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","16-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","22-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","24 Aug 16","Sydney","Minister - Official Business","2","438.00","","876.00","23-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Sep 16","15 Sep 16","Sydney","Minister - Official Business","1","442.00","","442.00","15-Sep-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","20 Sep 16","Canberra","Minister - Official Business","2","276.00","","552.00","19-Sep-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","27 Sep 16","Canberra","Minister - Official Business","2","276.00","","552.00","26-Sep-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Sep 16","28 Sep 16","Melbourne","Minister - Official Business","1","148.00","","148.00","28-Sep-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","24 Oct 16","Brisbane","Minister - Official Business","1","434.00","","434.00","24-Oct-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Oct 16","26 Oct 16","Sydney","Minister - Official Business","1","442.00","","442.00","26-Oct-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Nov 16","2 Nov 16","Canberra","Minister - Official Business","2","276.00","","552.00","01-Nov-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016","",""
"Christopher Pyne","Representative","Sturt","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Nov 16","10 Nov 16","Sydney","Minister - Official Business","1","148.00","","148.00","10-Nov-2016","",""
