"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Jul 16","5 Jul 16","Melbourne","Minister - Official Business","1","438.00","","438.00","05-Jul-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Jul 16","15 Jul 16","Melbourne","Minister - Official Business","1","438.00","","438.00","15-Jul-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Jul 16","26 Jul 16","Melbourne","Minister - Official Business","1","438.00","","438.00","26-Jul-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","29 Jul 16","Canberra","Minister - Official Business","3","273.00","","819.00","27-Jul-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","2 Aug 16","Melbourne","Minister - Official Business","2","438.00","","876.00","01-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","10 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","09-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Aug 16","11 Aug 16","Melbourne","Minister - Official Business","1","438.00","","438.00","11-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Sydney","Minister - Official Business","1","438.00","","438.00","15-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","17 Aug 16","Canberra","Minister - Official Business","2","273.00","","546.00","16-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","25 Aug 16","Canberra","Minister - Official Business","1","273.00","","273.00","25-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Sep 16","1 Sep 16","Brisbane","Minister - Official Business","1","434.00","","434.00","01-Sep-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Melbourne","Minister - Official Business","1","442.00","","442.00","06-Sep-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","7 Sep 16","Maryborough","Electorate Business","1","372.00","","372.00","07-Sep-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Canberra","Minister - Official Business","1","276.00","","276.00","08-Sep-2016","",""
"Dan Tehan","Representative","Wannon","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016","",""
