"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","17-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Jul 16","19 Jul 16","Canberra","Official Government or Vice-Regal Function","1","273.00","","273.00","19-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Jul 16","20 Jul 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","20-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Mount Isa","Assistant Minister - Official Business","1","368.00","","368.00","21-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","29 Jul 16","Canberra","Assistant Minister - Official Business","3","273.00","","819.00","27-Jul-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","7 Aug 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","07-Aug-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","14 Aug 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","14-Aug-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Sydney","Assistant Minister - Official Business","1","146.00","","146.00","17-Aug-2016",""
"David Gillespie","Representative","Lyne","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","25 Aug 16","Canberra","Assistant Minister - Official Business","3","273.00","","819.00","23-Aug-2016",""
