"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Jul 16","11 Jul 16","Brisbane","Electorate Business","1","408.00","","408.00","11-Jul-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","17-Jul-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Aug 16","5 Aug 16","Roma","Electorate Business","1","290.00","","290.00","05-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Aug 16","11 Aug 16","Kingaroy","Electorate Business","1","285.00","","285.00","11-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","14 Aug 16","Brisbane","Electorate Business","1","408.00","","408.00","14-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Aug 16","18 Aug 16","Goondiwindi","Electorate Business","1","258.00","","258.00","18-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","22 Aug 16","Roma","Electorate Business","1","290.00","","290.00","22-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","23 Aug 16","Winton","Electorate Business","1","258.00","","258.00","23-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Charleville","Electorate Business","1","258.00","","258.00","24-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","27 Aug 16","Brisbane","Parliamentary Political Party Meeting","3","408.00","","1,224.00","25-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Sep 16","5 Sep 16","Barcaldine","Electorate Business","1","268.00","","268.00","05-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Alpha","Electorate Business","1","268.00","","268.00","06-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","8 Sep 16","Longreach","Electorate Business","2","268.00","","536.00","07-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Sep 16","9 Sep 16","Quilpie","Electorate Business","1","268.00","","268.00","09-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Sep 16","10 Sep 16","Charleville","Electorate Business","1","268.00","","268.00","10-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","16 Sep 16","Brisbane","Electorate Business","1","411.00","","411.00","16-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Sep 16","18 Sep 16","Longreach","Electorate Business","2","268.00","","536.00","17-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Dalby","Electorate Business","1","304.00","","304.00","21-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Sep 16","2 Oct 16","Longreach","Electorate Business","3","268.00","","804.00","30-Sep-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Oct 16","3 Oct 16","Brisbane","Electorate Business","1","137.00","","137.00","03-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Roma","Electorate Business","1","293.00","","293.00","06-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","12","276.00","","3,312.00","09-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Oct 16","23 Oct 16","Longreach","Electorate Business","1","268.00","","268.00","23-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Oct 16","26 Oct 16","Winton","Electorate Business","1","268.00","","268.00","26-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Oct 16","31 Oct 16","Longreach","Electorate Business","2","268.00","","536.00","30-Oct-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Goondiwindi","Electorate Business","1","268.00","","268.00","14-Nov-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","15 Nov 16","Dalby","Electorate Business","1","304.00","","304.00","15-Nov-2016",""
"David Littleproud","Representative","Maranoa","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Roma","Electorate Business","1","293.00","","293.00","16-Nov-2016",""
