"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Aug 16","4 Aug 16","Sydney","Electorate Business","1","397.00","","397.00","04-Aug-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","25 Aug 16","Canberra","Parliamentary Political Party Meeting","3","273.00","","819.00","23-Aug-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Sep 16","8 Sep 16","Sydney","Electorate Business","2","400.00","","800.00","07-Sep-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Sydney","Electorate Business","1","442.00","","442.00","06-Oct-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Oct 16","7 Oct 16","Wagga Wagga","Electorate Business","1","372.00","","372.00","07-Oct-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","15 Oct 16","Canberra","Sittings of Parliament","7","276.00","","1,932.00","09-Oct-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","21 Oct 16","Canberra","Senate Estimates","5","276.00","","1,380.00","17-Oct-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","24 Oct 16","Brisbane","Shadow Minister - Official Business","1","411.00","","411.00","24-Oct-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Nov 16","3 Nov 16","Sydney","Electorate Business","1","400.00","","400.00","03-Nov-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Nov 16","5 Nov 16","Sydney","Electorate Business","1","400.00","","400.00","05-Nov-2016",""
"Deborah O'Neill","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
