"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","6 Jul 16 - Perth to Canberra","1,625.40","","06-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","7 Jul 16 - Canberra to Sydney","1,659.67","","07-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","7 Jul 16 - Sydney to Perth","","","07-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","5,818.74","","01-Jan-1900"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","3,393.60","","01-Jan-1900"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","31.77","","01-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","31.77","","01-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones adj 1 Jul 16","-9.40","","01-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 25 May to 27 Jun 16","787.30","","27-Jun-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 7 Jun to 6 Jul 16","1,297.71","","06-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 28 Jun to 1 Jul 16","114.45","","01-Jul-2016"
"Dennis Jensen","Representative","Tangney","Western Australia","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","15.96","","27-Jun-2016"
