"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Jul 16","25 Jul 16","Perth","Shadow Minister - Official Business","1","411.00","","411.00","25-Jul-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Jul 16","29 Jul 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","29-Jul-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","08-Aug-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","15 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","15-Aug-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Sep 16","11 Sep 16","Canberra","Sittings of Parliament","2","276.00","","552.00","10-Sep-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","12 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","12-Sep-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","13-Sep-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","18 Sep 16","Melbourne","Education and Employment - Sen","1","382.00","","382.00","18-Sep-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","19 Sep 16","Melbourne","Shadow Minister - Official Business","1","382.00","","382.00","19-Sep-2016",""
"Doug Cameron","Senator","","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Sep 16","24 Sep 16","Bathurst","Electorate Business","1","286.00","","286.00","24-Sep-2016",""
