"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul to 18 Jul 16","271.66","18-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Reimbursement of infringement notice fee 3 May 16","-15.00","03-May-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Accident excess 8 May 16","500.00","08-May-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Loan car costs 12 May 16","214.05","12-May-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 2 Jun to 26 Jun 16","442.44","26-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 10 Jun to 9 Jul 16","1,180.30","09-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","995.47","01-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","1,117.81","01-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","25.00","01-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","1 Printed item 1 Jul 16","1,200.00","01-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 July 2016","12 Printed items 1 Jul to 2 Jul 16","11,498.91","02-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 21 Apr 16","254.55","21-Apr-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","12.64","30-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 10 Jun 16","25.00","10-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 17 Jun 16","25.00","17-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 24 Jun 16","25.00","24-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 24 Jun 16","1,200.00","24-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 28 Jun 16","1,145.45","28-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 30 Jun 16","2,618.62","30-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 July 2016","1 Printed item 30 Jun 16","2,839.10","30-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Apr to 27 May 16","4.52","27-May-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Apr to 27 May 16","668.30","27-May-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","140.74","27-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","9.94","27-Jun-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 Jun to 27 Jul 16","13.31","27-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 Jun to 27 Jul 16","506.90","27-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Residential phones 1 Jul 16","31.77","01-Jul-2016"
"Fiona Scott","Representative","Lindsay","New South Wales","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 July 2016","Dedicated data line 1 Jul 16","63.59","01-Jul-2016"
