"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Sep 16","3 Sep 16","Norfolk Island","External Territory Visit","2","483.00","","966.00","02-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Parliamentary Political Party Meeting","0","400.00","","-42.00*","08-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Parliamentary Political Party Meeting","1","400.00","","442.00","08-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","*","","","","","","","","01-Jul-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","Adjustment by Senator.","","","","","","","01-Jul-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","1,641.66","01-Jul-2016","OS Representing Australia 3C - Accommodation and meals",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","9,753.35","01-Jul-2016","OS Representing Australia 3C - Fares",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","206.48","01-Jul-2016","OS Representing Australia 3C - Ground transport",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","381.00","01-Jul-2016","OS Representing Australia 3C - Passport costs",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","378.00","01-Jul-2016","OS Representing Australia 3C - Travel advance",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Canberra to Brisbane","","","","652.71","29-Jul-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Brisbane to Townsville","","","","","29-Jul-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Canberra to Melbourne","","","","411.39","03-Aug-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Melbourne to Canberra","","","","411.39","03-Aug-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Sydney","","","","599.25","02-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Sydney to Norfolk Island","","","","1,465.34","02-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Sep 16 - Norfolk Island to Auckland","","","","","04-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Sep 16 - Auckland to Sydney","","","","","04-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Sep 16 - Sydney to Canberra","","","","121.30","04-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Canberra to Sydney","","","","334.35","08-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Sydney to Canberra","","","","334.35","09-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Oct 16 - Canberra to Sydney","","","","599.25","22-Oct-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Nov 16 - Sydney to Canberra","","","","334.35","02-Nov-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Nov 16 - Canberra to Sydney","","","","334.35","17-Nov-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Nov 16 - Sydney to Canberra","","","","334.35","17-Nov-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Dec 16 - Canberra to Melbourne","","","","416.12","04-Dec-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Dec 16 - Melbourne to Perth","","","","874.65","06-Dec-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Dec 16 - Perth to Canberra","","","","821.29","07-Dec-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","24 May 16 - Canberra to Newcastle","","","","30.54","24-May-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","24 May 16 - Newcastle to Canberra","","","","","24-May-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","30 May 16 - Canberra to Newcastle","","","","30.54","30-May-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","30 May 16 - Newcastle to Canberra","","","","","30-May-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","17 Jun 16 - Wellcamp to Melbourne","","","","80.00","17-Jun-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","17 Jun 16 - Melbourne to Canberra","","","","","17-Jun-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 2 Jul to 9 Jul 16","","","","82.68","09-Jul-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 18 Jul to 17 Aug 16","","","","713.79","17-Aug-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 30 Jul to 20 Aug 16","","","","146.71","20-Aug-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 18 Aug to 17 Sep 16","","","","713.79","17-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 28 Aug to 17 Sep 16","","","","109.85","17-Sep-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 18 Sep to 17 Oct 16","","","","713.79","17-Oct-2016","",""
"Gai Brodtmann","Representative","Canberra","Australian Capital Territory","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 4 Oct 16","","","","55.67","04-Oct-2016","",""
