"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Date","Notes"
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Brisbane to Coffs Harbour 14 Sep 16","258.06","14-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Coffs Harbour to Port Stephens 15 Sep 16","258.72","15-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Port Stephens to Canberra 16 Sep 16","318.12","16-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Canberra to Gerringong 19 Sep 16","150.48","19-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Gerringong to Ballina 20 Sep 16","590.70","20-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Ballina to Brisbane 21 Sep 16","122.76","21-Sep-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Brisbane to Ballina 5 Oct 16","122.76","05-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Ballina to Harrington 6 Oct 16","306.90","06-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Harrington to Canberra 7 Oct 16","401.28","07-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Canberra to Salamander Bay 11 Oct 16","318.12","11-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Salamander Bay to Ballina 12 Oct 16","399.96","12-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Ballina to Brisbane 13 Oct 16","88.76","13-Oct-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Brisbane to Magenta 3 Nov 16","283.40","03-Nov-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Magenta to Canberra 4 Nov 16","133.70","04-Nov-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Canberra to Port Macquarie 8 Nov 16","227.50","08-Nov-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","Private Vehicle Allowance","From 1 July 2016","Port Macquarie to Brisbane 9 Nov 16","184.68","09-Nov-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","11 Jun 16 - Brisbane","78.60","11-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","11 Jun 16 - Townsville","950.22","11-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","12 Jun 16 - Townsville","786.98","12-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","16 Jun 16 - Brisbane","51.09","16-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","16 Jun 16 - Townsville","211.64","16-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","16 Jun 16 - Brisbane","61.57","16-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","23 Jun 16 - Townsville","557.00","23-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","27 Jun 16 - Townsville","559.50","27-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Car Costs","COMCAR","Before 1 July 2016","27 Jun 16 - Townsville","675.00","27-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","-11,802.02","01-Jul-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","-47,208.08","01-Jul-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","MFD Monochrome copy charge 1 Jul to 27 Jul 16","37.95","27-Jul-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Administrative Costs","Office Consumables and Services","From 1 July 2016","MFD Colour copy charge 1 Jul to 27 Jul 16","18.40","27-Jul-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 28 May to 27 Jun 16","0.84","27-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 28 May to 27 Jun 16","155.86","27-Jun-2016",""
