"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","17-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Cloncurry","Electorate Business","1","258.00","","258.00","27-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Brisbane","Electorate Business","1","408.00","","408.00","08-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Aug 16","27 Aug 16","Brisbane","Parliamentary Political Party Meeting","3","408.00","","1,224.00","25-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","2 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","29-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Sep 16","10 Sep 16","Cairns","Electorate Business","2","307.00","","614.00","09-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Sep 16","17 Sep 16","Cairns","Electorate Business","2","307.00","","614.00","16-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Sep 16","18 Sep 16","Mission Beach","Electorate Business","1","268.00","","268.00","18-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Sep 16","26 Sep 16","Sydney","Treaties","2","400.00","","800.00","25-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Sep 16","29 Sep 16","Gladstone","Sittings of Parliament","1","341.00","","341.00","29-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Sep 16","30 Sep 16","Hervey Bay","Electorate Business","1","311.00","","311.00","30-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Oct 16","3 Oct 16","Brisbane","Sittings of Parliament","1","411.00","","411.00","03-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","5 Oct 16","Brisbane","Legal and Constitutional Affairs","2","411.00","","822.00","04-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Brisbane","Electorate Business","1","411.00","","411.00","06-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Oct 16","8 Oct 16","Forster","Sittings of Parliament","1","268.00","","268.00","08-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Oct 16","14 Oct 16","Canberra","Legal and Constitutional Affairs","1","276.00","","276.00","14-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Oct 16","15 Oct 16","Canberra","Sittings of Parliament","1","276.00","","276.00","15-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Senate Estimates","4","276.00","","1,104.00","16-Oct-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","11 Nov 16","Canberra","Electoral Matters","1","276.00","","276.00","11-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Nov 16","12 Nov 16","Canberra","Sittings of Parliament","1","276.00","","276.00","12-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Nov 16","13 Nov 16","Hobart","Electoral Matters","1","330.00","","330.00","13-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Melbourne","Legal and Constitutional Affairs","1","382.00","","382.00","14-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","16 Nov 16","Sydney","Electoral Matters","2","400.00","","800.00","15-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Nov 16","19 Nov 16","Brisbane","Electorate Business","1","411.00","","411.00","19-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Dec 16","11 Dec 16","Canberra","Legal and Constitutional Affairs","1","276.00","","276.00","11-Dec-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 July 2016","","","","","","","","7,632.47","01-Jan-1900","OS Delegation - Fares",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Townsville to Sydney","","","","1,117.96","17-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Sydney to Canberra","","","","","17-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Canberra to Sydney","","","","1,117.96","19-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Sydney to Townsville","","","","","19-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Townsville to Mount Isa","","","","511.77","27-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Jul 16 - Mount Isa to Townsville","","","","511.77","28-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","30 Jul 16 - Townsville to Brisbane","","","","849.51","30-Jul-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Brisbane to Townsville","","","","763.49","09-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Townsville to Sydney","","","","1,117.96","23-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Sydney to Canberra","","","","","23-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Brisbane","","","","799.62","25-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","799.62","28-Aug-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Sydney","","","","1,117.96","02-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Sydney to Townsville","","","","","02-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Townsville to Cairns","","","","339.92","09-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Cairns to Brisbane","","","","1,109.88","11-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","","11-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","1,192.95","16-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Brisbane to Cairns","","","","","16-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Sep 16 - Townsville to Brisbane","","","","1,030.28","25-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Sep 16 - Brisbane to Sydney","","","","","25-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Sep 16 - Sydney to Cairns","","","","834.30","27-Sep-2016","",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Sep 16 - Cairns to Townsville","","","","339.92","27-Sep-2016","",""
