"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Aug 16","4 Aug 16","Sydney","Parliamentary Political Party Meeting","1","397.00","","397.00","04-Aug-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Sydney","Shadow Parliamentary Secretary - Official","1","397.00","","397.00","24-Aug-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Parliamentary Political Party Meeting","1","400.00","","400.00","08-Sep-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","12-Sep-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","28 Sep 16","Mildura","Electorate Business","2","286.00","","572.00","27-Sep-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","10-Oct-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","20 Oct 16","Brisbane","Senate Estimates","4","268.00","","1,072.00","17-Oct-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","8 Nov 16","Canberra","Sittings of Parliament","2","276.00","","552.00","07-Nov-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Sydney","Shadow Parliamentary Secretary - Official","1","400.00","","400.00","17-Nov-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","8 Jun 16","8 Jun 16","Sydney","Shadow Parliamentary Secretary - Official","1","397.00","","397.00","08-Jun-2016",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","","","","Business","","","","","01-Jul-2016",""
