"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","28 Apr 15 - Darwin to Halls Creek","4,300.65","","28-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","28 Apr 15 - Halls Creek to Kununurra","","","28-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","29 Apr 15 - Kununurra to Katherine","","","29-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","29 Apr 15 - Katherine to Elcho Island","","","29-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","30 Apr 15 - Elcho Island to Gove","","","30-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 July 2016","30 Apr 15 - Gove to Mount Isa","","","30-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Darwin to Halls Creek 28 Apr 15","-2,679.46","","28-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Halls Creek to Kununurra 28 Apr 15","","","28-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Kununurra to Katherine 29 Apr 15","","","29-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Katherine to Elcho Island 29 Apr 15","","","29-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Elcho Island to Gove 30 Apr 15","","","30-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Charter","SMOS Approved","Before 1 July 2016","Gove to Mount Isa 30 Apr 15","","","30-Apr-2015"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","1,674.02","","01-Jul-2016"
"Jan McLucas","Senator","","Queensland","Australian Labor Party","Office Administrative Costs","Printing and Communications","Before 1 July 2016","PO Box 2733 rental credit 9 May 16","-55.00","","09-May-2016"
