"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Broome","Shadow Minister - Official Business","1","411.00","","411.00","08-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","10 Aug 16","Darwin","Shadow Minister - Official Business","2","438.00","","876.00","09-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","23 Aug 16","Adelaide","Shadow Minister - Official Business","2","359.00","","718.00","22-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","12-Sep-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","29 Sep 16","Perth","Shadow Minister - Official Business","3","399.00","","1,197.00","27-Sep-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Cairns","Shadow Minister - Official Business","1","307.00","","307.00","04-Oct-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Townsville","Shadow Minister - Official Business","1","297.00","","297.00","05-Oct-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Mackay","Shadow Minister - Official Business","1","315.00","","315.00","06-Oct-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","10-Oct-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","17-Oct-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Sydney to Canberra","","","","329.04","08-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Sydney","","","","599.25","08-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Sydney to Canberra","","","","329.04","22-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Sydney","","","","329.04","22-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Sydney to Brisbane","","","","781.48","29-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Jul 16 - Brisbane to Sydney","","","","698.67","29-Jul-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Aug 16 - Sydney to Perth","","","","1,988.40","01-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Aug 16 - Perth to Karratha","","","","602.45","02-Aug-2016",""
"Jason Clare","Representative","Blaxland","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Aug 16 - Newman to Perth","","","","839.79","03-Aug-2016",""
