"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","3","276.00","","828.00","17-Oct-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","07-Nov-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","3","276.00","","828.00","21-Nov-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Sydney to Canberra","","","","599.25","15-Aug-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Sydney","","","","599.25","17-Aug-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Sydney to Canberra","","","","526.99","27-Nov-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Sydney to Canberra 17 Jul 16","","","","411.84","17-Jul-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Car Costs","Other Car Costs","From 1 July 2016","","","","Taxi 11 Sep 16","","","","7.14","11-Sep-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Car Costs","Parking","From 1 July 2016","","","","Parking between 15 Aug and 17 Aug 16","","","","218.18","17-Aug-2016",""
"Jason Falinski","Representative","Mackellar","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","","","","Aggregated Total","","","","83,214.44","01-Jul-2016",""
