"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","29 Jul 16 - Brisbane to Canberra","799.62","","29-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","29 Jul 16 - Canberra to Brisbane","714.18","","29-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","12 May 16 - Horn Island to Thursday Island","18.55","","12-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","13 May 16 - Thursday Island to Bamaga","53.78","","13-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","28 Jun 16 - Brisbane to Cairns","605.86","","28-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 July 2016","30 Jun 16 - Cairns to Brisbane","687.64","","30-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Other Car Costs","From 1 July 2016","Canberra 29 Jul 16","131.80","","29-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Other Car Costs","Before 1 July 2016","Cairns 11 May to 12 May 16","71.80","","12-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Other Car Costs","Before 1 July 2016","Gladstone to Rockhampton 15 May to 17 May 16","353.60","","17-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Other Car Costs","Before 1 July 2016","Cairns 28 Jun to 30 Jun 16","167.79","","30-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","End of lease adj 24 Apr to 23 May 16","-901.85","","23-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 9 May to 27 Jun 16","846.85","","27-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","End of lease adj 24 May to 23 Jun 16","-901.85","","23-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 21 Jun to 20 Jul 16","1,713.90","","20-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 July 2016","End of lease adj 24 Jun 16","-364.94","","24-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","COMCAR","Before 1 July 2016","7 May 16 - Canberra","78.60","","07-May-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","COMCAR","Before 1 July 2016","30 Jun 16 - Brisbane","122.85","","30-Jun-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","614.16","","01-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","8,030.55","","01-Jul-2016","","","","","",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 July 2016","Office phones 1 Jul 16","234.07","","01-Jul-2016","","","","","",""
