"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Jul 16","20 Jul 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","20-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Jul 16","26 Jul 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","26-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","17-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","24 Aug 16","Canberra","Shadow Minister - Official Business","2","273.00","","546.00","23-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","08-Sep-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","05-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Oct 16","27 Oct 16","Canberra","Shadow Minister - Official Business","4","276.00","","1,104.00","24-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Oct 16","28 Oct 16","Gold Coast","Shadow Minister - Official Business","1","354.00","","354.00","28-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Oct 16","31 Oct 16","Mildura","Shadow Minister - Official Business","1","286.00","","286.00","31-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Muswellbrook","Electorate Business","1","268.00","","268.00","14-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","16-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Nov 16","17 Nov 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","17-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Dec 16","3 Dec 16","Dubbo","Parliamentary Political Party Meeting","2","286.00","","572.00","02-Dec-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Dec 16","7 Dec 16","Sydney","Shadow Minister - Official Business","2","400.00","","800.00","06-Dec-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Newcastle to Canberra","","","","738.51","07-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Newcastle","","","","","08-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Sydney to Canberra","","","","599.25","21-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Newcastle","","","","369.25","22-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Jul 16 - Newcastle to Canberra","","","","369.25","26-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Canberra to Sydney","","","","329.04","27-Jul-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Newcastle to Canberra","","","","369.25","17-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Canberra to Sydney","","","","599.25","18-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Newcastle to Canberra","","","","738.51","23-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Newcastle","","","","","25-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Newcastle to Canberra","","","","738.51","28-Aug-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Newcastle","","","","","02-Sep-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Newcastle to Canberra","","","","738.51","11-Sep-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Newcastle","","","","","16-Sep-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Newcastle to Canberra","","","","738.51","09-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Oct 16 - Canberra to Newcastle","","","","","14-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Newcastle to Canberra","","","","369.26","16-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Newcastle","","","","369.25","20-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Newcastle to Canberra","","","","30.54","16-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Oct 16 - Canberra to Newcastle","","","","","20-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Oct 16 - Newcastle to Canberra","","","","369.25","24-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Oct 16 - Canberra to Brisbane","","","","799.62","28-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","29 Oct 16 - Coolangatta to Newcastle","","","","262.73","29-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","31 Oct 16 - Sydney to Mildura","","","","542.27","31-Oct-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Nov 16 - Mildura to Melbourne","","","","1,145.19","01-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Nov 16 - Melbourne to Sydney","","","","","01-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Newcastle to Canberra","","","","369.26","06-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Newcastle to Canberra","","","","30.54","06-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Sydney","","","","526.99","10-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Nov 16 - Sydney to Canberra","","","","599.25","17-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Nov 16 - Canberra to Newcastle","","","","406.18","18-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Newcastle to Canberra","","","","738.51","20-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Canberra to Newcastle","","","","","25-Nov-2016",""
"Joel Fitzgibbon","Representative","Hunter","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Newcastle to Canberra","","","","406.18","27-Nov-2016",""
