"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse"
"John Madigan","Senator","","Victoria","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","14 Jul 16 - Melbourne to Canberra","245.30","","14-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Domestic Scheduled Fares","Fares","From 1 July 2016","14 Jul 16 - Canberra to Melbourne","411.39","","14-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","Private-Plated Vehicle","From 1 July 2016","Fuel 1 Jul 16","69.59","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Additional maintenance 12 May 16","153.15","","12-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Fuel 29 May to 22 Jun 16","276.15","","22-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","Private-Plated Vehicle","Before 1 July 2016","Lease 7 Jun to 6 Jul 16","1,038.35","","06-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","COMCAR","Before 1 July 2016","4 Jun 16 - Sydney","78.60","","04-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Car Costs","COMCAR","Before 1 July 2016","4 Jun 16 - Melbourne","209.60","","04-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Facilities","Office Facilities","From 1 July 2016","Aggregated Total","973.88","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Facilities","Office Facilities","Before 1 July 2016","Aggregated Total","2,306.59","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","From 1 July 2016","Po Box 239 rental credit 1 Jul 16","-27.73","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution credit 16 Feb 16","-144.14","","16-Feb-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Apr to 30 Apr 16","562.41","","30-Apr-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 30 Apr to 22 May 16","251.00","","22-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution late payment fee May 16","15.00","","01-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","e-material 4 May to 11 May 16","248.45","","11-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 9 May 16","16,089.29","","09-May-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Distribution 1 Jun to 30 Jun 16","35.73","","30-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Printing and Communications","Before 1 July 2016","Web-design 22 Jun 16","250.00","","22-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 24 May to 23 Jun 16","6.04","","23-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 24 May to 23 Jun 16","202.79","","23-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","Office requisites and stationery 1 Jun to 30 Jun 16","484.20","","30-Jun-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Monochrome copy charge 24 Jun to 23 Jul 16","4.64","","23-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Office Consumables and Services","Before 1 July 2016","MFD Colour copy charge 24 Jun to 23 Jul 16","137.15","","23-Jul-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Sep to 3 Oct 15","53.64","","03-Oct-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Oct to 3 Nov 15","53.64","","03-Nov-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Nov to 3 Dec 15","53.64","","03-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 10 Nov 15","21.82","","10-Nov-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Nov to 10 Dec 15","23.07","","10-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 20 Nov 15","25.45","","20-Nov-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Dec 15 to 3 Jan 16","54.44","","04-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 8 Dec 15","21.82","","08-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Dec 15 to 10 Jan 16","23.07","","11-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 18 Dec 15","25.45","","18-Dec-2015","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Jan to 3 Feb 16","54.44","","03-Feb-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 5 Jan 16","21.82","","05-Jan-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Jan to 10 Feb 16","23.07","","10-Feb-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 15 Jan 16","25.45","","15-Jan-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 2 Feb 16","21.82","","02-Feb-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Feb to 3 Mar 16","54.44","","03-Mar-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Feb to 10 Mar 16","23.07","","10-Mar-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 12 Feb 16","25.45","","12-Feb-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian (digital) 1 Mar 16","21.82","","01-Mar-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Australian Financial Review (digital) 4 Mar to 3 Apr 16","54.44","","03-Apr-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 The Age (digital) 11 Mar to 10 Apr 16","23.07","","10-Apr-2016","","","","","",""
"John Madigan","Senator","","Victoria","Independent","Office Administrative Costs","Publications","Before 1 July 2016","1 Herald Sun (digital) 11 Mar 16","25.45","","11-Mar-2016","","","","","",""
