"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Jul 16","2 Jul 16","Tamworth","Electorate Business","1","283.00","","283.00","02-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Jul 16","14 Jul 16","Tamworth","Electorate Business","1","283.00","","283.00","14-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Jul 16","16 Jul 16","Sydney","Electorate Business","1","397.00","","397.00","16-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","17 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","17-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Sydney","Electorate Business","1","397.00","","397.00","18-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Jul 16","25 Jul 16","Sydney","Electorate Business","1","397.00","","397.00","25-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Aug 16","2 Aug 16","Tamworth","Electorate Business","1","283.00","","283.00","02-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Aug 16","8 Aug 16","Sydney","Electorate Business","1","397.00","","397.00","08-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","28 Aug 16","Canberra","Parliamentary Political Party Meeting","1","276.00","","276.00","28-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","29 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","29-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Senate Estimates","5","276.00","","1,380.00","16-Oct-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Oct 16","27 Oct 16","Tamworth","Representing Minister or Presiding Officer","1","286.00","","286.00","27-Oct-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Oct 16","31 Oct 16","Sydney","Electorate Business","1","400.00","","400.00","31-Oct-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Nov 16","4 Nov 16","Sydney","Electorate Business","1","400.00","","400.00","04-Nov-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","15 Nov 16","Sydney","Electorate Business","1","400.00","","400.00","15-Nov-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Dec 16","8 Dec 16","Sydney","External Territory Visit","1","400.00","","400.00","08-Dec-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Dec 16","11 Dec 16","Norfolk Island","External Territory Visit","3","483.00","","1,449.00","09-Dec-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","25 May 16","25 May 16","Lismore","Electorate Business","1","258.00","","258.00","25-May-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","26 May 16","26 May 16","Kirra","Parliamentary Political Party Meeting","1","258.00","","258.00","26-May-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","27 May 16","28 May 16","Kirra","Parliamentary Political Party Meeting","2","258.00","","516.00","27-May-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","18 Jun 16","18 Jun 16","Sydney","Electorate Business","1","397.00","","397.00","18-Jun-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","20 Jun 16","20 Jun 16","Tamworth","Electorate Business","1","283.00","","283.00","20-Jun-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","23 Jun 16","24 Jun 16","Sydney","Electorate Business","2","397.00","","794.00","23-Jun-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Jul 16 - Armidale to Sydney","","","","638.72","12-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Jul 16 - Sydney to Canberra","","","","","12-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Jul 16 - Canberra to Sydney","","","","908.93","13-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Jul 16 - Sydney to Armidale","","","","","13-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Jul 16 - Armidale to Sydney","","","","315.21","16-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Jul 16 - Sydney to Canberra","","","","329.04","17-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Canberra to Sydney","","","","329.04","18-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Sydney to Armidale","","","","315.21","19-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Jul 16 - Armidale to Sydney","","","","315.21","25-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","26 Jul 16 - Sydney to Armidale","","","","315.21","26-Jul-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Aug 16 - Tamworth to Sydney","","","","333.05","08-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Sydney to Tamworth","","","","333.05","09-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Armidale to Sydney","","","","321.12","18-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Sydney to Armidale","","","","321.12","18-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Armidale to Sydney","","","","649.94","28-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Sydney to Canberra","","","","","28-Aug-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Sydney","","","","649.94","02-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Sydney to Armidale","","","","","02-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Armidale to Sydney","","","","321.12","09-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Sep 16 - Sydney to Armidale","","","","321.12","09-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Armidale to Sydney","","","","649.94","11-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Sydney to Canberra","","","","","11-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Sydney","","","","649.94","16-Sep-2016",""
"John Williams","Senator","","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Sydney to Armidale","","","","","16-Sep-2016",""
