"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","23 Aug 16","24 Aug 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","23-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Sep 16","26 Sep 16","Sydney","Treaties","2","400.00","","800.00","25-Sep-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Canberra","Treaties","1","276.00","","276.00","27-Sep-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Perth to Sydney","","","","1,304.54","07-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Sydney to Canberra","","","","","07-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Perth","","","","","08-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Perth to Canberra","","","","1,651.31","21-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Perth","","","","1,651.31","22-Jul-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Perth to Melbourne","","","","1,673.97","15-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Melbourne to Canberra","","","","","15-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Canberra to Perth","","","","1,651.31","17-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","23 Aug 16 - Perth to Canberra","","","","1,651.31","23-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Perth","","","","1,651.31","25-Aug-2016",""
"Josh Wilson","Representative","Fremantle","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Perth to Sydney","","","","1,679.45","28-Aug-2016",""
