"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","10 Oct 16","Canberra","Sittings of Parliament","2","276.00","","552.00","09-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","1","276.00","","276.00","12-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","19 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","16-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Sydney to Canberra","","","","121.30","28-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Sydney","","","","334.35","02-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Sydney to Canberra","","","","334.35","11-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Sep 16 - Canberra to Sydney","","","","334.35","15-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Sydney to Canberra","","","","161.04","09-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Sydney to Canberra","","","","334.35","16-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Sydney to Canberra","","","","121.30","06-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Sydney","","","","121.30","10-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Sydney to Canberra","","","","121.30","20-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Sydney","","","","121.30","24-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Sep to 15 Oct 16","","","","701.15","15-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Lease 16 Oct to 15 Nov 16","","","","701.15","15-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 July 2016","","","","Fuel 21 Oct to 22 Oct 16","","","","50.26","22-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Sydney to Canberra 15 Aug 16","","","","199.32","15-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 July 2016","","","","Canberra to Sydney 17 Aug 16","","","","199.98","17-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","28 Aug 16 - Sydney","","","","90.20","28-Aug-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","1 Sep 16 - Sydney","","","","40.00","01-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","2 Sep 16 - Sydney","","","","112.92","02-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","11 Sep 16 - Sydney","","","","90.20","11-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","15 Sep 16 - Sydney","","","","68.00","15-Sep-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Oct 16 - Sydney","","","","90.20","09-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","11 Oct 16 - Canberra","","","","40.00","11-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","16 Oct 16 - Sydney","","","","90.30","16-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","20 Oct 16 - Sydney","","","","75.33","20-Oct-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","6 Nov 16 - Sydney","","","","90.30","06-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","10 Nov 16 - Sydney","","","","72.33","10-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","20 Nov 16 - Sydney","","","","87.10","20-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","24 Nov 16 - Sydney","","","","70.09","24-Nov-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Dec 16 - Sydney","","","","-152.68","09-Dec-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Dec 16 - Sydney","","","","152.68","09-Dec-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Dec 16 - Canberra","","","","41.80","09-Dec-2016",""
"Julian Leeser","Representative","Berowra","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 July 2016","","","","9 Dec 16 - Canberra","","","","40.00","09-Dec-2016",""
