"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Queenstown","Electorate Business","1","283.00","","283.00","09-Aug-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Aug 16","16 Aug 16","Canberra","Official Government or Vice-Regal Function","2","273.00","","546.00","15-Aug-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","1","273.00","","273.00","24-Aug-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Sep 16","26 Sep 16","Queenstown","Electorate Business","1","286.00","","286.00","26-Sep-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","9 Oct 16","Sydney","Sittings of Parliament","1","400.00","","400.00","09-Oct-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","10 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","10-Oct-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Nov 16","12 Nov 16","Queenstown","Parliamentary Political Party Meeting","2","286.00","","572.00","11-Nov-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Devonport to Melbourne","","","","370.90","07-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Melbourne to Canberra","","","","","07-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Melbourne","","","","410.00","08-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Melbourne to Devonport","","","","","08-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Melbourne to Canberra","","","","187.91","22-Jul-2016",""
"Justine Keay","Representative","Braddon","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Melbourne","","","","1,010.01","22-Jul-2016",""
