"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Jul 16","8 Jul 16","Emerald","Electorate Business","1","307.00","","307.00","08-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Jul 16","12 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","12-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Jul 16","14 Jul 16","Brisbane","Electorate Business","1","408.00","","408.00","14-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Jul 16","18 Jul 16","Canberra","Parliamentary Political Party Meeting","2","273.00","","546.00","17-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Jul 16","22 Jul 16","Emerald","Electorate Business","1","307.00","","307.00","22-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","30 Jul 16","30 Jul 16","Monto","Electorate Business","1","258.00","","258.00","30-Jul-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Aug 16","1 Aug 16","Gayndah","Electorate Business","1","258.00","","258.00","01-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Aug 16","9 Aug 16","Brisbane","Electorate Business","1","408.00","","408.00","09-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Theodore","Electorate Business","1","258.00","","258.00","16-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Aug 16","21 Aug 16","Wondai","Electorate Business","1","258.00","","258.00","21-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Aug 16","27 Aug 16","Brisbane","Parliamentary Political Party Meeting","2","408.00","","816.00","26-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","19 Sep 16","20 Sep 16","Rockhampton","Electorate Business","2","286.00","","572.00","19-Sep-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","24 Sep 16","24 Sep 16","Taroom","Electorate Business","1","268.00","","268.00","24-Sep-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Biggenden","Electorate Business","1","268.00","","268.00","04-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","5 Oct 16","5 Oct 16","Moura","Electorate Business","1","268.00","","268.00","05-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Oct 16","6 Oct 16","Emerald","Electorate Business","1","310.00","","310.00","06-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","12","276.00","","3,312.00","09-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Oct 16","25 Oct 16","Emerald","Electorate Business","1","310.00","","310.00","25-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","26 Oct 16","26 Oct 16","Rockhampton","Electorate Business","1","286.00","","286.00","26-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Oct 16","28 Oct 16","Rockhampton","Electorate Business","1","286.00","","286.00","28-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","31 Oct 16","31 Oct 16","Mundubbera","Electorate Business","1","268.00","","268.00","31-Oct-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Ken O'Dowd","Representative","Flynn","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Wondai","Electorate Business","1","268.00","","268.00","16-Nov-2016",""
