"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Jul 16","20 Jul 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","20-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Jul 16","27 Jul 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","27-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Aug 16","7 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","07-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Aug 16","14 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","14-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Aug 16","16 Aug 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","16-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","23 Aug 16","Canberra","Shadow Minister - Official Business","2","273.00","","546.00","22-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","1 Sep 16","1 Sep 16","Hobart","Shadow Minister - Official Business","1","330.00","","330.00","01-Sep-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Sep 16","6 Sep 16","Surfers Paradise","Shadow Minister - Official Business","1","268.00","","268.00","06-Sep-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","08-Sep-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Senate Estimates","5","276.00","","1,380.00","16-Oct-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","2 Nov 16","2 Nov 16","Canberra","Shadow Minister - Official Business","1","276.00","","276.00","02-Nov-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Sydney","Shadow Minister - Official Business","1","400.00","","400.00","16-Nov-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Dec 16","13 Dec 16","Canberra","Shadow Minister - Official Business","2","276.00","","552.00","12-Dec-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Melbourne to Canberra","","","","687.87","07-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Melbourne","","","","687.87","08-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Jul 16 - Melbourne to Canberra","","","","687.87","20-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Melbourne","","","","687.87","22-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Melbourne to Sydney","","","","781.55","27-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Jul 16 - Sydney to Melbourne","","","","781.55","28-Jul-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Aug 16 - Melbourne to Canberra","","","","687.87","07-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Aug 16 - Canberra to Melbourne","","","","687.87","08-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","14 Aug 16 - Melbourne to Canberra","","","","687.87","14-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Aug 16 - Canberra to Melbourne","","","","687.87","19-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Melbourne to Canberra","","","","689.24","22-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Canberra to Melbourne","","","","689.24","24-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Melbourne to Canberra","","","","689.24","28-Aug-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Melbourne","","","","836.20","01-Sep-2016",""
"Kim Carr","Senator","","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Melbourne to Hobart","","","","","01-Sep-2016",""
