"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","18 Jul 16","18 Jul 16","Sydney","Deputy Party Leader - Official Business","1","397.00","","397.00","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","11 Sep 16","Canberra","Sittings of Parliament","1","276.00","","276.00","11-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","12 Sep 16","12 Sep 16","Sydney","Deputy Party Leader - Official Business","1","400.00","","400.00","12-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","13 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","3","276.00","","828.00","13-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","16-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","3 Nov 16","3 Nov 16","Melbourne","Parliamentary Political Party Meeting","1","382.00","","382.00","03-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Nov 16","16 Nov 16","Melbourne","Environment and Communications","1","382.00","","382.00","16-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Nov 16","26 Nov 16","Perth","Parliamentary Political Party Meeting","2","399.00","","798.00","25-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Jul 16 - Brisbane to Sydney","","","","155.13","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","19 Jul 16 - Sydney to Brisbane","","","","164.75","19-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Brisbane to Sydney","","","","164.75","27-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Jul 16 - Sydney to Brisbane","","","","452.97","27-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Brisbane to Melbourne","","","","1,023.41","09-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Melbourne to Brisbane","","","","1,095.10","09-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Brisbane to Melbourne","","","","1,023.41","25-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Melbourne to Brisbane","","","","1,023.41","25-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Brisbane to Canberra","","","","739.64","28-Aug-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","1 Sep 16 - Canberra to Brisbane","","","","799.62","01-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Brisbane to Canberra","","","","739.64","11-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","12 Sep 16 - Canberra to Sydney","","","","334.35","12-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Sep 16 - Sydney to Canberra","","","","334.35","13-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Brisbane","","","","739.64","16-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Sep 16 - Brisbane to Sydney","","","","730.49","27-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Sep 16 - Sydney to Brisbane","","","","730.49","27-Sep-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Oct 16 - Brisbane to Canberra","","","","739.64","09-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","13 Oct 16 - Canberra to Brisbane","","","","739.64","13-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Oct 16 - Brisbane to Canberra","","","","739.64","16-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Oct 16 - Canberra to Brisbane","","","","739.64","21-Oct-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Nov 16 - Brisbane to Melbourne","","","","1,095.10","03-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","4 Nov 16 - Melbourne to Brisbane","","","","1,095.10","04-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","6 Nov 16 - Brisbane to Canberra","","","","739.64","06-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Nov 16 - Canberra to Brisbane","","","","799.62","10-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Nov 16 - Brisbane to Melbourne","","","","1,128.52","16-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Nov 16 - Melbourne to Brisbane","","","","1,128.52","17-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Nov 16 - Brisbane to Canberra","","","","739.64","20-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Nov 16 - Canberra to Brisbane","","","","799.62","24-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Nov 16 - Brisbane to Perth","","","","1,913.32","25-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","27 Nov 16 - Perth to Canberra","","","","1,655.40","27-Nov-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Dec 16 - Canberra to Brisbane","","","","739.64","02-Dec-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","22 Jun 16 - Brisbane to Cairns","","","","687.64","22-Jun-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Domestic Scheduled Fares","Fares","Before 1 July 2016","","","","22 Jun 16 - Cairns to Brisbane","","","","687.64","22-Jun-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Brisbane","","","","45.91","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Sydney","","","","52.60","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Sydney","","","","40.61","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","18 Jul 16 - Sydney","","","","40.00","18-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","19 Jul 16 - Sydney","","","","40.00","19-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","19 Jul 16 - Brisbane","","","","54.13","19-Jul-2016",""
"Larissa Waters","Senator","","Queensland","Australian Greens","Car Costs","COMCAR","From 1 July 2016","","","","27 Jul 16 - Brisbane","","","","45.30","27-Jul-2016",""
