"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Aug 16","27 Aug 16","Bowral","Parliamentary Political Party Meeting","1","258.00","","258.00","27-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","31 Aug 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","28-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","14 Sep 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","11-Sep-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","12 Oct 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","09-Oct-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","18 Oct 16","Canberra","Senate Estimates","3","276.00","","828.00","16-Oct-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","9 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","06-Nov-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","23 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","20-Nov-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","25 Nov 16","26 Nov 16","Perth","Parliamentary Political Party Meeting","2","399.00","","798.00","25-Nov-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","30 Nov 16","Canberra","Sittings of Parliament","4","276.00","","1,104.00","27-Nov-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","6 May 16","6 May 16","Heatherbrae","Parliamentary Political Party Meeting","1","258.00","","258.00","06-May-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","7 May 16","7 May 16","Newcastle","Electorate Business","1","102.00","","102.00","07-May-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","12 May 16","12 May 16","Coffs Harbour","Electorate Business","1","95.00","","95.00","12-May-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","1 Jun 16","1 Jun 16","Adelaide","Electorate Business","1","359.00","","359.00","01-Jun-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","2 Jun 16","2 Jun 16","Canberra","Electorate Business","1","273.00","","273.00","02-Jun-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","3 Jun 16","4 Jun 16","Lismore","Electorate Business","2","258.00","","516.00","03-Jun-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 July 2016","7 Jun 16","7 Jun 16","Tweed Heads","Electorate Business","1","258.00","","258.00","07-Jun-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Sydney to Melbourne","","","","153.78","09-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","9 Aug 16 - Melbourne to Sydney","","","","153.78","09-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Sydney to Canberra","","","","334.35","24-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","24 Aug 16 - Canberra to Sydney","","","","334.35","24-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Sydney to Melbourne","","","","153.78","25-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Melbourne to Sydney","","","","153.78","25-Aug-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Sydney to Merimbula","","","","404.00","02-Sep-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","3 Sep 16 - Merimbula to Sydney","","","","404.00","03-Sep-2016",""
"Lee Rhiannon","Senator","","New South Wales","Australian Greens","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Sep 16 - Sydney to Melbourne","","","","448.57","17-Sep-2016",""
