"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","7 Jul 16","7 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","07-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Jul 16","21 Jul 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","21-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","17 Aug 16","17 Aug 16","Melbourne","Shadow Parliamentary Secretary - Official","1","127.00","","127.00","17-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","22 Aug 16","24 Aug 16","Canberra","Official Government or Vice-Regal Function","3","273.00","","819.00","22-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","28 Aug 16","1 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","28-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","8 Sep 16","8 Sep 16","Broome","Electorate Business","1","414.00","","414.00","08-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Sep 16","9 Sep 16","Broome","Electorate Business","1","138.00","","138.00","09-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","11 Sep 16","15 Sep 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","11-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Sep 16","20 Sep 16","Warmun","Electorate Business","1","90.00","","90.00","20-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","21 Sep 16","21 Sep 16","Port Hedland","Electorate Business","1","414.00","","414.00","21-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Sep 16","27 Sep 16","Bunbury","Community Affairs","1","309.00","","309.00","27-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","4 Oct 16","4 Oct 16","Canberra","Legal and Constitutional Affairs","1","276.00","","276.00","04-Oct-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","9 Oct 16","13 Oct 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","09-Oct-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","16 Oct 16","20 Oct 16","Canberra","Senate Estimates","5","276.00","","1,380.00","16-Oct-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","6 Nov 16","10 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","06-Nov-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","14 Nov 16","14 Nov 16","Melbourne","Legal and Constitutional Affairs","1","382.00","","382.00","14-Nov-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","15 Nov 16","16 Nov 16","Melbourne","Shadow Parliamentary Secretary - Official","2","382.00","","764.00","15-Nov-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","","","","Business","","","","","01-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","20 Nov 16","24 Nov 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","20-Nov-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 July 2016","27 Nov 16","1 Dec 16","Canberra","Sittings of Parliament","5","276.00","","1,380.00","27-Nov-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","7 Jul 16 - Perth to Canberra","","","","988.16","07-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Jul 16 - Canberra to Perth","","","","","08-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Perth to Melbourne","","","","909.99","21-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","21 Jul 16 - Melbourne to Canberra","","","","","21-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Jul 16 - Canberra to Perth","","","","","22-Jul-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","15 Aug 16 - Perth to Brisbane","","","","2,083.77","15-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Aug 16 - Brisbane to Perth","","","","2,083.77","16-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","17 Aug 16 - Perth to Melbourne","","","","1,946.80","17-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","18 Aug 16 - Melbourne to Perth","","","","1,786.14","18-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","22 Aug 16 - Perth to Canberra","","","","1,651.31","22-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Canberra to Melbourne","","","","1,673.97","25-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","25 Aug 16 - Melbourne to Perth","","","","","25-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","28 Aug 16 - Perth to Canberra","","","","821.29","28-Aug-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Canberra to Melbourne","","","","1,673.97","02-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","2 Sep 16 - Melbourne to Perth","","","","","02-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","8 Sep 16 - Perth to Broome","","","","713.65","08-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","10 Sep 16 - Broome to Perth","","","","713.65","10-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Perth to Sydney","","","","1,679.45","11-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","11 Sep 16 - Sydney to Canberra","","","","","11-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Canberra to Sydney","","","","1,679.45","16-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","16 Sep 16 - Sydney to Perth","","","","","16-Sep-2016",""
"Louise Pratt","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 July 2016","","","","20 Sep 16 - Perth to Kununurra","","","","618.58","20-Sep-2016",""
